quartal,jahr,hersteller,dosen,anwendungen,abstand
4,2020,BNT/Pfizer,1300000,2,28
1,2021,BNT/Pfizer,10900000,2,28
2,2021,BNT/Pfizer,40200000,2,28
3,2021,BNT/Pfizer,34700000,2,28
4,2021,BNT/Pfizer,13500000,2,28
4,2020,Moderna,0,2,35
1,2021,Moderna,1800000,2,35
2,2021,Moderna,6400000,2,35
3,2021,Moderna,26700000.000000004,2,35
4,2021,Moderna,42900000.00000001,2,35
4,2020,AZ,0,2,70
1,2021,AZ,5600000,2,70
2,2021,AZ,16900000,2,70
3,2021,AZ,33800000,2,70
4,2021,AZ,0,2,70
4,2020,J&J,0,1,0
1,2021,J&J,0,1,0
2,2021,J&J,10100000,1,0
3,2021,J&J,22000000,1,0
4,2021,J&J,4600000,1,0
4,2020,Curevac,0,2,21
1,2021,Curevac,0,2,21
2,2021,Curevac,3500000,2,21
3,2021,Curevac,9400000,2,21
4,2021,Curevac,11700000,2,21
4,2020,Sanofi/GSK,0,2,21
1,2021,Sanofi/GSK,0,2,21
2,2021,Sanofi/GSK,0,2,21
3,2021,Sanofi/GSK,0,2,21
4,2021,Sanofi/GSK,27500000,2,21
