KW,dosen_kw
6,925351
7,1292102
8,1934702
9,2914730
10,2141258
11,2141258
12,2141258
13,2716682
14,3346140
15,3598000
16,3849860
17,4409196
18,5533190
19,5945967
20,6358745
21,6771521
22,7142072
23,7690725
24,8257410
25,8824095
26,9459574
27,9632602
28,9632602
29,9632602
30,9632602
31,9632602
32,9632602
33,9632602
34,9632602
35,9632602
36,9632602
37,9632602
38,9632602
39,8771734
40,7623910
41,7623910
42,7623910
43,7623910
44,7623910
45,7623910
46,7623910
47,7623910
48,7623910
49,7623910
50,7623910
51,7623910
52,5445650
