Datum,hersteller,dosen_pro_tag,Verteilungsszenario,zweit_neu
2021-10-01,AZ,0,Gleichverteilung,313083
2021-10-02,AZ,0,Gleichverteilung,313083
2021-10-03,AZ,0,Gleichverteilung,313083
2021-10-04,AZ,0,Gleichverteilung,313083
2021-10-05,AZ,0,Gleichverteilung,313083
2021-10-06,AZ,0,Gleichverteilung,313083
2021-10-07,AZ,0,Gleichverteilung,313083
2021-10-08,AZ,0,Gleichverteilung,313083
2021-10-09,AZ,0,Gleichverteilung,313083
2021-10-10,AZ,0,Gleichverteilung,313083
2021-10-11,AZ,0,Gleichverteilung,313083
2021-10-12,AZ,0,Gleichverteilung,313083
2021-10-13,AZ,0,Gleichverteilung,313083
2021-10-14,AZ,0,Gleichverteilung,313083
2021-10-15,AZ,0,Gleichverteilung,313083
2021-10-16,AZ,0,Gleichverteilung,313083
2021-10-17,AZ,0,Gleichverteilung,313083
2021-10-18,AZ,0,Gleichverteilung,313083
2021-10-19,AZ,0,Gleichverteilung,313083
2021-10-20,AZ,0,Gleichverteilung,313083
2021-10-21,AZ,0,Gleichverteilung,313083
2021-10-22,AZ,0,Gleichverteilung,313083
2021-10-23,AZ,0,Gleichverteilung,313083
2021-10-24,AZ,0,Gleichverteilung,313083
2021-10-25,AZ,0,Gleichverteilung,313083
2021-10-26,AZ,0,Gleichverteilung,313083
2021-10-27,AZ,0,Gleichverteilung,313083
2021-10-28,AZ,0,Gleichverteilung,367391
2021-10-29,AZ,0,Gleichverteilung,367391
2021-10-30,AZ,0,Gleichverteilung,367391
2021-10-31,AZ,0,Gleichverteilung,367391
2021-11-01,AZ,0,Gleichverteilung,367391
2021-11-02,AZ,0,Gleichverteilung,367391
2021-11-03,AZ,0,Gleichverteilung,367391
2021-11-04,AZ,0,Gleichverteilung,367391
2021-11-05,AZ,0,Gleichverteilung,367391
2021-11-06,AZ,0,Gleichverteilung,367391
2021-11-07,AZ,0,Gleichverteilung,367391
2021-11-08,AZ,0,Gleichverteilung,281677
2021-11-09,AZ,0,Gleichverteilung,281677
2021-11-10,AZ,0,Gleichverteilung,281677
2021-11-11,AZ,0,Gleichverteilung,281677
2021-11-12,AZ,0,Gleichverteilung,281677
2021-11-13,AZ,0,Gleichverteilung,281677
2021-11-14,AZ,0,Gleichverteilung,281677
2021-11-15,AZ,0,Gleichverteilung,367391
2021-11-16,AZ,0,Gleichverteilung,367391
2021-11-17,AZ,0,Gleichverteilung,367391
2021-11-18,AZ,0,Gleichverteilung,185714
2021-11-19,AZ,0,Gleichverteilung,185714
2021-11-20,AZ,0,Gleichverteilung,185714
2021-11-21,AZ,0,Gleichverteilung,185714
2021-11-22,AZ,0,Gleichverteilung,53371
2021-11-23,AZ,0,Gleichverteilung,53371
2021-11-24,AZ,0,Gleichverteilung,53371
2021-11-25,AZ,0,Gleichverteilung,53371
2021-11-26,AZ,0,Gleichverteilung,53371
2021-11-27,AZ,0,Gleichverteilung,53371
2021-11-28,AZ,0,Gleichverteilung,53371
2021-11-29,AZ,0,Gleichverteilung,185714
2021-11-30,AZ,0,Gleichverteilung,185714
2021-12-01,AZ,0,Gleichverteilung,185714
2021-12-02,AZ,0,Gleichverteilung,185714
2021-12-03,AZ,0,Gleichverteilung,185714
2021-12-04,AZ,0,Gleichverteilung,185714
2021-12-05,AZ,0,Gleichverteilung,185714
2021-12-06,AZ,0,Gleichverteilung,54308
2021-12-07,AZ,0,Gleichverteilung,54308
2021-12-08,AZ,0,Gleichverteilung,54308
2021-12-09,AZ,0,Gleichverteilung,54308
2021-04-26,AZ,125060,Linearer Anstieg der Produktion in Q2,132343
2021-04-27,AZ,126187,Linearer Anstieg der Produktion in Q2,132343
2021-04-28,AZ,127313,Linearer Anstieg der Produktion in Q2,132343
2021-04-29,AZ,128440,Linearer Anstieg der Produktion in Q2,132343
2021-04-30,AZ,129567,Linearer Anstieg der Produktion in Q2,132343
2021-10-01,AZ,0,Linearer Anstieg der Produktion in Q2,310760
2021-10-02,AZ,0,Linearer Anstieg der Produktion in Q2,308914
2021-10-03,AZ,0,Linearer Anstieg der Produktion in Q2,307067
2021-10-04,AZ,0,Linearer Anstieg der Produktion in Q2,305221
2021-10-05,AZ,0,Linearer Anstieg der Produktion in Q2,303374
2021-10-06,AZ,0,Linearer Anstieg der Produktion in Q2,301528
2021-10-07,AZ,0,Linearer Anstieg der Produktion in Q2,299681
2021-10-08,AZ,0,Linearer Anstieg der Produktion in Q2,297835
2021-10-09,AZ,0,Linearer Anstieg der Produktion in Q2,295988
2021-10-10,AZ,0,Linearer Anstieg der Produktion in Q2,294142
2021-10-11,AZ,0,Linearer Anstieg der Produktion in Q2,292295
2021-10-12,AZ,0,Linearer Anstieg der Produktion in Q2,290449
2021-10-13,AZ,0,Linearer Anstieg der Produktion in Q2,288602
2021-10-14,AZ,0,Linearer Anstieg der Produktion in Q2,286756
2021-10-15,AZ,0,Linearer Anstieg der Produktion in Q2,284909
2021-10-16,AZ,0,Linearer Anstieg der Produktion in Q2,283063
2021-10-17,AZ,0,Linearer Anstieg der Produktion in Q2,281216
2021-10-18,AZ,0,Linearer Anstieg der Produktion in Q2,279370
2021-10-19,AZ,0,Linearer Anstieg der Produktion in Q2,280787
2021-10-20,AZ,0,Linearer Anstieg der Produktion in Q2,278252
2021-10-21,AZ,0,Linearer Anstieg der Produktion in Q2,275717
2021-10-22,AZ,0,Linearer Anstieg der Produktion in Q2,273182
2021-10-23,AZ,0,Linearer Anstieg der Produktion in Q2,270647
2021-10-24,AZ,0,Linearer Anstieg der Produktion in Q2,268112
2021-10-25,AZ,0,Linearer Anstieg der Produktion in Q2,265577
2021-10-26,AZ,0,Linearer Anstieg der Produktion in Q2,263042
2021-10-27,AZ,0,Linearer Anstieg der Produktion in Q2,260507
2021-10-28,AZ,0,Linearer Anstieg der Produktion in Q2,223459
2021-10-29,AZ,0,Linearer Anstieg der Produktion in Q2,222051
2021-10-30,AZ,0,Linearer Anstieg der Produktion in Q2,220643
2021-10-31,AZ,0,Linearer Anstieg der Produktion in Q2,219234
2021-11-01,AZ,0,Linearer Anstieg der Produktion in Q2,217826
2021-11-02,AZ,0,Linearer Anstieg der Produktion in Q2,216418
2021-11-03,AZ,0,Linearer Anstieg der Produktion in Q2,215009
2021-11-04,AZ,0,Linearer Anstieg der Produktion in Q2,213601
2021-11-05,AZ,0,Linearer Anstieg der Produktion in Q2,212193
2021-11-06,AZ,0,Linearer Anstieg der Produktion in Q2,210784
2021-11-07,AZ,0,Linearer Anstieg der Produktion in Q2,209376
2021-11-08,AZ,0,Linearer Anstieg der Produktion in Q2,122254
2021-11-09,AZ,0,Linearer Anstieg der Produktion in Q2,120845
2021-11-10,AZ,0,Linearer Anstieg der Produktion in Q2,119437
2021-11-11,AZ,0,Linearer Anstieg der Produktion in Q2,118029
2021-11-12,AZ,0,Linearer Anstieg der Produktion in Q2,116620
2021-11-13,AZ,0,Linearer Anstieg der Produktion in Q2,115212
2021-11-14,AZ,0,Linearer Anstieg der Produktion in Q2,113804
2021-11-15,AZ,0,Linearer Anstieg der Produktion in Q2,198109
2021-11-16,AZ,0,Linearer Anstieg der Produktion in Q2,196701
2021-11-17,AZ,0,Linearer Anstieg der Produktion in Q2,195293
2021-11-18,AZ,0,Linearer Anstieg der Produktion in Q2,120553
2021-11-19,AZ,0,Linearer Anstieg der Produktion in Q2,121680
2021-11-20,AZ,0,Linearer Anstieg der Produktion in Q2,122807
2021-11-21,AZ,0,Linearer Anstieg der Produktion in Q2,123933
2021-11-27,AZ,0,Linearer Anstieg der Produktion in Q2,31689
2021-11-28,AZ,0,Linearer Anstieg der Produktion in Q2,33536
2021-11-29,AZ,0,Linearer Anstieg der Produktion in Q2,167725
2021-11-30,AZ,0,Linearer Anstieg der Produktion in Q2,169572
2021-12-01,AZ,0,Linearer Anstieg der Produktion in Q2,171418
2021-12-02,AZ,0,Linearer Anstieg der Produktion in Q2,173265
2021-12-03,AZ,0,Linearer Anstieg der Produktion in Q2,175111
2021-12-04,AZ,0,Linearer Anstieg der Produktion in Q2,176958
2021-12-05,AZ,0,Linearer Anstieg der Produktion in Q2,178804
2021-12-06,AZ,0,Linearer Anstieg der Produktion in Q2,49245
