Datum,hersteller,dosen_pro_tag,Verteilungsszenario,erst_neu,zweit_neu,zweit_abzuarbeiten,quartal
2021-05-10,AZ,185714,Gleichverteilung,0,185714,24115,2
2021-05-11,AZ,185714,Gleichverteilung,0,185714,48230,2
2021-05-12,AZ,185714,Gleichverteilung,0,185714,72345,2
2021-05-13,AZ,185714,Gleichverteilung,0,185714,96460,2
2021-05-14,AZ,185714,Gleichverteilung,0,185714,120575,2
2021-05-15,AZ,185714,Gleichverteilung,0,185714,144690,2
2021-05-16,AZ,185714,Gleichverteilung,0,185714,168805,2
2021-05-17,AZ,185714,Gleichverteilung,0,185714,82424,2
2021-10-01,AZ,0,Gleichverteilung,0,0,367391,4
2021-10-02,AZ,0,Gleichverteilung,0,0,734782,4
2021-10-03,AZ,0,Gleichverteilung,0,0,1102173,4
2021-10-04,AZ,0,Gleichverteilung,0,0,1469564,4
2021-10-05,AZ,0,Gleichverteilung,0,0,1832998,4
2021-10-06,AZ,0,Gleichverteilung,0,0,2114008,4
2021-10-07,AZ,0,Gleichverteilung,0,0,2395018,4
2021-10-08,AZ,0,Gleichverteilung,0,0,2676028,4
2021-10-09,AZ,0,Gleichverteilung,0,0,2957038,4
2021-10-10,AZ,0,Gleichverteilung,0,0,3238048,4
2021-10-11,AZ,0,Gleichverteilung,0,0,3519058,4
2021-10-12,AZ,0,Gleichverteilung,0,0,3800068,4
2021-10-13,AZ,0,Gleichverteilung,0,0,4081078,4
2021-10-14,AZ,0,Gleichverteilung,0,0,4362088,4
2021-10-15,AZ,0,Gleichverteilung,0,0,4643098,4
2021-10-16,AZ,0,Gleichverteilung,0,0,4924108,4
2021-10-17,AZ,0,Gleichverteilung,0,0,5205118,4
2021-10-18,AZ,0,Gleichverteilung,0,0,5486128,4
2021-10-19,AZ,0,Gleichverteilung,0,0,5767138,4
2021-10-20,AZ,0,Gleichverteilung,0,0,6048148,4
2021-10-21,AZ,0,Gleichverteilung,0,0,6329158,4
2021-10-22,AZ,0,Gleichverteilung,0,0,6610168,4
2021-10-23,AZ,0,Gleichverteilung,0,0,6891178,4
2021-10-24,AZ,0,Gleichverteilung,0,0,7172188,4
2021-10-25,AZ,0,Gleichverteilung,0,0,7453198,4
2021-10-26,AZ,0,Gleichverteilung,0,0,7734208,4
2021-10-27,AZ,0,Gleichverteilung,0,0,8015218,4
2021-10-28,AZ,0,Gleichverteilung,0,0,8382609,4
2021-10-29,AZ,0,Gleichverteilung,0,0,8750000,4
2021-10-30,AZ,0,Gleichverteilung,0,0,9117391,4
2021-10-31,AZ,0,Gleichverteilung,0,0,9484782,4
2021-11-01,AZ,0,Gleichverteilung,0,0,9852173,4
2021-11-02,AZ,0,Gleichverteilung,0,0,10219564,4
2021-11-03,AZ,0,Gleichverteilung,0,0,10586955,4
2021-11-04,AZ,0,Gleichverteilung,0,0,10954346,4
2021-11-05,AZ,0,Gleichverteilung,0,0,11321737,4
2021-11-06,AZ,0,Gleichverteilung,0,0,11689128,4
2021-11-07,AZ,0,Gleichverteilung,0,0,12056519,4
2021-11-08,AZ,0,Gleichverteilung,0,0,12423910,4
2021-11-09,AZ,0,Gleichverteilung,0,0,12791301,4
2021-11-10,AZ,0,Gleichverteilung,0,0,13158692,4
2021-11-11,AZ,0,Gleichverteilung,0,0,13526083,4
2021-11-12,AZ,0,Gleichverteilung,0,0,13893474,4
2021-11-13,AZ,0,Gleichverteilung,0,0,14260865,4
2021-11-14,AZ,0,Gleichverteilung,0,0,14628256,4
2021-11-15,AZ,0,Gleichverteilung,0,0,14995647,4
2021-11-16,AZ,0,Gleichverteilung,0,0,15363038,4
2021-11-17,AZ,0,Gleichverteilung,0,0,15730429,4
2021-11-18,AZ,0,Gleichverteilung,0,0,15916143,4
2021-11-19,AZ,0,Gleichverteilung,0,0,16101857,4
2021-11-20,AZ,0,Gleichverteilung,0,0,16287571,4
2021-11-21,AZ,0,Gleichverteilung,0,0,16473285,4
2021-11-22,AZ,0,Gleichverteilung,0,0,16603113,4
2021-11-23,AZ,0,Gleichverteilung,0,0,16732941,4
2021-11-24,AZ,0,Gleichverteilung,0,0,16862769,4
2021-11-25,AZ,0,Gleichverteilung,0,0,16992597,4
2021-11-26,AZ,0,Gleichverteilung,0,0,17122425,4
2021-11-27,AZ,0,Gleichverteilung,0,0,17252253,4
2021-11-28,AZ,0,Gleichverteilung,0,0,17382081,4
2021-11-29,AZ,0,Gleichverteilung,0,0,17423452,4
2021-11-30,AZ,0,Gleichverteilung,0,0,17464823,4
2021-12-01,AZ,0,Gleichverteilung,0,0,17506194,4
2021-12-02,AZ,0,Gleichverteilung,0,0,17547565,4
2021-12-03,AZ,0,Gleichverteilung,0,0,17588936,4
2021-12-04,AZ,0,Gleichverteilung,0,0,17630307,4
2021-12-05,AZ,0,Gleichverteilung,0,0,17671678,4
2021-12-06,AZ,0,Gleichverteilung,0,0,17671678,4
2021-12-07,AZ,0,Gleichverteilung,0,0,17671678,4
