"";"Kreis";"AG_rki";"ges";"m";"w"
"1";1001;1;4399;2294;2105
"2";1001;2;7573;3860;3713
"3";1001;3;27036;14137;12899
"4";1001;4;27783;14177;13606
"5";1001;5;17810;8289;9521
"6";1001;6;5563;2147;3416
"7";1002;1;11333;5779;5554
"8";1002;2;19424;9932;9492
"9";1002;3;76854;38537;38317
"10";1002;4;79062;39324;39738
"11";1002;5;45970;21460;24510
"12";1002;6;14151;5166;8985
"13";1003;1;9419;4866;4553
"14";1003;2;17818;9126;8692
"15";1003;3;52653;26839;25814
"16";1003;4;72503;35582;36921
"17";1003;5;47637;21574;26063
"18";1003;6;16500;6045;10455
"19";1004;1;3613;1890;1723
"20";1004;2;7239;3730;3509
"21";1004;3;19242;10137;9105
"22";1004;4;26839;13591;13248
"23";1004;5;17452;8188;9264
"24";1004;6;5811;2187;3624
"25";1051;1;5371;2727;2644
"26";1051;2;11593;5923;5670
"27";1051;3;27964;14657;13307
"28";1051;4;45170;22409;22761
"29";1051;5;33194;16049;17145
"30";1051;6;9901;3953;5948
"31";1053;1;9511;4851;4660
"32";1053;2;18856;9721;9135
"33";1053;3;39697;20668;19029
"34";1053;4;71949;35466;36483
"35";1053;5;43504;20802;22702
"36";1053;6;14502;5657;8845
"37";1054;1;6885;3556;3329
"38";1054;2;13983;7209;6774
"39";1054;3;35866;19030;16836
"40";1054;4;56915;27736;29179
"41";1054;5;40232;19033;21199
"42";1054;6;12070;4722;7348
"43";1055;1;7319;3628;3691
"44";1055;2;16112;8226;7886
"45";1055;3;36449;19016;17433
"46";1055;4;69627;33501;36126
"47";1055;5;54288;25633;28655
"48";1055;6;16744;6685;10059
"49";1056;1;15027;7691;7336
"50";1056;2;29695;15158;14537
"51";1056;3;65688;34310;31378
"52";1056;4;115041;56964;58077
"53";1056;5;68482;32217;36265
"54";1056;6;22170;8783;13387
"55";1057;1;5328;2737;2591
"56";1057;2;11328;5683;5645
"57";1057;3;23498;12228;11270
"58";1057;4;45203;21963;23240
"59";1057;5;32975;15640;17335
"60";1057;6;10354;4236;6118
"61";1058;1;12070;6192;5878
"62";1058;2;25441;13081;12360
