KW,pcrtests,positivtests,testkapazitaet
202042,1101715,40245,1374408
202043,1236881,70127,1393806
202044,1441156,104663,1447740
202045,1446305,115971,1493124
202046,1268659,116510,1570278
202047,1254799,124582,1632600
202048,1235607,116449,1694700
202049,1205081,125643,1726020
202050,1323223,155222,1766160
202051,1472985,174009,1819680
202052,976178,128550,1634861
202053,721463,118645,1596994
202101,1062585,145358,1785192
202102,1056969,113893,1820400
202103,993304,99716,1875882
202104,981404,87156,1912242
202105,946069,75017,1911054
202106,902494,61270,1920690
202107,934350,60411,1884966
202108,988449,64615,1919292
202109,1020839,64979,1916010
202110,1084771,77660,1936110
202111,1196364,98762,1950036
202112,1279394,121787,1913814
202113,1050115,118945,1917198
202114,1002082,128063,1926630
202115,1174640,149454,1928430
202116,1231477,163208,1958466
202117,1186224,138538,1957866
202118,1093071,117596,1956438
202119,933064,82174,1994664
202120,1074246,64583,1991082
202121,800817,35629,2002362
202122,771916,25062,1996362
202123,715763,17579,2003718
202124,643824,9691,1982118
202125,619644,6230,1996722
202126,613991,5065,1982322
202127,520209,5967,1907178
202128,528498,8980,1896978
202129,519204,12512,1985130
202130,513739,15787,1898418
202131,503716,20568,1906662
202132,505897,31367,1902678
202133,615920,49893,1903662
202134,748019,64670,1906542
202135,833546,75930,1972098
202136,882536,74023,1976742
202137,859231,67901,1996446
202138,843545,56894,1999566
202139,847414,57656,2007846
202140,896261,60217,1997586
202141,791548,66561,1992774
202142,848234,94253,2002752
202143,1089095,134602,2007972
202144,1101543,178909,1990632
202145,1535167,265514,2033556
202146,1754751,348992,2044134
202147,1838396,389421,2157810
202148,1802201,377613,2202594
202149,1634885,323286,2142750
202150,1472884,273363,2151183
202151,1175426,192784,2147934
202152,897803,196528,2128500
202201,1400039,327911,2174400
202202,1955439,486319,2278188
202203,2406869,785577,2524488
202204,2438622,1002149,2554668
202205,2477154,1117950,2657028
202206,2366691,1038548,2761116
202207,2048786,950651,2801178
202208,1885655,860287,2819538
202209,1757935,912126,2785098
202210,2169679,1169373,2796378
202211,2357599,1329718,2791578
202212,2214146,1240301,2793678
202213,1859391,978181,2800398
202214,1462201,735663,2800998
202215,1073894,599490,2800998
202216,986930,515818,2816598
202217,1013650,435685,2800098
202218,826652,357096,2800098
202219,742003,297462,2749278
202220,621111,211512,2749278
202221,457523,139111,2749278
202222,552815,190954,2764878
202223,582024,253816,2764878
202224,647595,310982,2756778
202225,821914,434034,2756778
202226,840645,462566,2710584
202227,868636,480479,2710584
202228,909992,520429,2712738
202229,837069,467665,2712738
202230,691180,352127,2715078
202231,580908,266899,2715078
