Altersgruppe,Jahr,Quartal,AnzahlFall
00-04,2020,1,166
00-04,2020,2,417
00-04,2020,3,616
00-04,2020,4,5345
00-04,2021,1,4810
00-04,2021,2,5423
00-04,2021,3,3350
00-04,2021,4,18393
00-04,2022,1,105185
05-14,2020,1,496
05-14,2020,2,880
05-14,2020,3,1736
05-14,2020,4,17531
05-14,2021,1,11659
05-14,2021,2,15238
05-14,2021,3,12428
05-14,2021,4,100493
05-14,2022,1,448931
15-34,2020,1,4660
15-34,2020,2,7817
15-34,2020,3,9160
15-34,2020,4,78354
15-34,2021,1,51021
15-34,2021,2,47917
15-34,2021,3,34467
15-34,2021,4,172674
15-34,2022,1,886588
35-59,2020,1,8196
35-59,2020,2,11184
35-59,2020,3,6976
35-59,2020,4,97844
35-59,2021,1,65523
35-59,2021,2,56416
35-59,2021,3,26885
35-59,2021,4,219137
35-59,2022,1,985119
60-79,2020,1,3352
60-79,2020,2,5722
60-79,2020,3,1420
60-79,2020,4,37945
60-79,2021,1,25538
60-79,2021,2,17270
60-79,2021,3,5251
60-79,2021,4,69488
60-79,2022,1,252076
80+,2020,1,1369
80+,2020,2,4214
80+,2020,3,354
80+,2020,4,23096
80+,2021,1,13736
80+,2021,2,3884
80+,2021,3,1975
80+,2021,4,21088
80+,2022,1,66875
unbekannt,2020,1,2
unbekannt,2020,2,2
unbekannt,2020,3,1
unbekannt,2020,4,8
unbekannt,2021,1,13
unbekannt,2021,2,14
unbekannt,2021,3,5
unbekannt,2021,4,180
unbekannt,2022,1,1532
