Bundesland,jahrmonat,AnzahlFall,jj_auffrischen,az_auffrischen,bnt_auffrischen,mod_auffrischen,summe_jjazbntmod_auffrischen
Baden-Württemberg,202108,317053,0,0,270169,5601,275770
Baden-Württemberg,202109,48298,0,123,243806,24356,268285
Baden-Württemberg,202110,84038,0,3752,252986,16960,273698
Baden-Württemberg,202111,43019,70671,119599,873178,98772,1162220
Baden-Württemberg,202112,8382,162786,197781,1539961,223550,2124078
Baden-Württemberg,202201,5181,71136,69484,1440132,223225,1803977
Bayern,202108,437855,0,0,358955,9576,368531
Bayern,202109,63366,0,80,331341,16496,347917
Bayern,202110,96781,0,13460,177178,35721,226359
Bayern,202111,41119,69844,98868,1128430,118157,1415299
Bayern,202112,8383,180533,323588,1801705,255646,2561472
Bayern,202201,6471,69663,104823,1301708,204489,1680683
Berlin,202108,129208,0,0,117175,2772,119947
Berlin,202109,17039,0,0,83206,4849,88055
Berlin,202110,21705,1675,523,95444,34449,132091
Berlin,202111,9635,15792,16840,266461,18151,317244
Berlin,202112,2044,54562,85085,439715,80406,659768
Berlin,202201,3009,13133,15426,423434,114303,566296
Brandenburg,202108,76712,0,0,74562,894,75456
Brandenburg,202109,11686,0,4,22749,3225,25978
Brandenburg,202110,13999,0,3057,64610,11884,79551
Brandenburg,202111,5581,14126,24959,208915,32683,280683
Brandenburg,202112,684,50315,56713,273824,24082,404934
Brandenburg,202201,629,9822,23401,289418,46455,369096
Bremen,202108,18091,0,0,20052,1253,21305
Bremen,202109,2944,0,3,13784,765,14552
Bremen,202110,4358,0,282,23069,1137,24488
Bremen,202111,1686,8715,5853,66372,7551,88491
Bremen,202112,380,12143,12239,74508,8955,107845
Bremen,202201,456,8408,3743,130818,19379,162348
Hamburg,202108,52176,0,0,53375,512,53887
Hamburg,202109,9598,0,43,35727,1100,36870
Hamburg,202110,10600,332,102,27864,5312,33610
Hamburg,202111,3883,8196,6311,170557,16134,201198
Hamburg,202112,1148,37169,26601,222936,60615,347321
Hamburg,202201,1836,10161,5868,172621,49466,238116
Hessen,202108,188918,0,0,139522,150,139672
Hessen,202109,31266,0,81,180823,10505,191409
Hessen,202110,44742,42,1143,138862,11640,151687
Hessen,202111,21580,25525,87116,381627,37618,531886
Hessen,202112,4355,101742,110938,905216,141914,1259810
Hessen,202201,4030,42818,68827,732165,104841,948651
Mecklenburg-Vorpommern,202108,24701,0,0,48759,1183,49942
Mecklenburg-Vorpommern,202109,6244,0,78,22148,3421,25647
Mecklenburg-Vorpommern,202110,9594,6,382,30730,3248,34366
Mecklenburg-Vorpommern,202111,3317,8950,9406,149028,12116,179500
Mecklenburg-Vorpommern,202112,299,25282,33960,258219,30864,348325
Mecklenburg-Vorpommern,202201,307,7327,20526,144109,25311,197273
Niedersachsen,202108,165740,0,0,171498,1625,173123
Niedersachsen,202109,33322,0,433,224191,10426,235050
Niedersachsen,202110,41293,0,1372,122949,14135,138456
Niedersachsen,202111,17904,68405,47846,559432,80966,756649
Niedersachsen,202112,2847,185498,138997,1164037,115765,1604297
Niedersachsen,202201,4231,52372,128414,903163,173691,1257640
Nordrhein-Westfalen,202108,533205,0,0,410905,5918,416823
Nordrhein-Westfalen,202109,80600,0,944,393406,14945,409295
Nordrhein-Westfalen,202110,129825,3,6354,458914,38192,503463
Nordrhein-Westfalen,202111,61475,95666,109082,1534243,107926,1846917
Nordrhein-Westfalen,202112,11089,411510,484609,2819079,446591,4161789
Nordrhein-Westfalen,202201,11856,81059,158503,1915123,181636,2336321
Rheinland-Pfalz,202108,102360,0,0,136420,3731,140151
Rheinland-Pfalz,202109,14611,0,75,40135,819,41029
Rheinland-Pfalz,202110,24190,0,6847,126780,16537,150164
Rheinland-Pfalz,202111,11606,16580,36719,379424,25941,458664
Rheinland-Pfalz,202112,2442,78813,92680,459586,71833,702912
Rheinland-Pfalz,202201,2387,18870,40179,515964,86867,661880
Saarland,202108,28974,0,0,22592,708,23300
Saarland,202109,3021,0,10,22605,1088,23703
Saarland,202110,5681,0,565,32025,5054,37644
Saarland,202111,3123,3842,7544,104709,8121,124216
Saarland,202112,708,20006,13454,172801,15575,221836
Saarland,202201,631,5440,5640,101186,9099,121365
Sachsen,202108,195176,0,0,97174,820,97994
Sachsen,202109,28479,0,0,138956,11576,150532
Sachsen,202110,41856,38,713,133929,14234,148914
Sachsen,202111,18567,19843,22784,388578,36578,467783
Sachsen,202112,1868,43176,106453,386664,89212,625505
Sachsen,202201,773,12499,38938,359617,30041,441095
Sachsen-Anhalt,202108,61073,0,0,52468,761,53229
Sachsen-Anhalt,202109,12559,0,5,40614,5552,46171
Sachsen-Anhalt,202110,18113,0,1156,47378,8346,56880
Sachsen-Anhalt,202111,6837,15224,14201,177962,23975,231362
Sachsen-Anhalt,202112,656,42954,53676,285387,32139,414156
Sachsen-Anhalt,202201,325,14900,14364,231874,42550,303688
Schleswig-Holstein,202108,42577,0,0,89394,1440,90834
Schleswig-Holstein,202109,7381,0,106,23009,2205,25320
Schleswig-Holstein,202110,9021,0,1748,108213,13025,122986
Schleswig-Holstein,202111,4100,18697,29182,262022,31238,341139
Schleswig-Holstein,202112,847,50362,71455,372547,41511,535875
Schleswig-Holstein,202201,1548,27197,33574,365110,60620,486501
Thüringen,202108,76594,0,0,59447,1,59448
Thüringen,202109,18789,0,12,54299,8858,63169
Thüringen,202110,22116,10,530,100527,10980,112047
Thüringen,202111,10137,7177,15161,158132,5563,186033
Thüringen,202112,1184,25264,41407,226837,45268,338776
Thüringen,202201,413,14896,16405,228380,67661,327342
