GENESIS-Tabelle: 12411-0005
Bevölkerung: Deutschland, Stichtag, Altersjahre;;;;;
Fortschreibung des Bevölkerungsstandes;;;;;
Deutschland;;;;;
Bevölkerungsstand (Anzahl);;;;;
;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag
;31.12.2016;31.12.2017;31.12.2018;31.12.2019;31.12.2020
unter 1 Jahr;788299;785074;783978;774870;769380
1-Jährige;762519;796149;796374;794132;783593
2-Jährige;753217;770628;802651;802415;798366
3-Jährige;727203;760868;776763;807816;806198
4-Jährige;725208;734059;766631;782143;811601
5-Jährige;709649;732088;739729;771479;785754
6-Jährige;725990;715528;736749;743954;774587
7-Jährige;714614;732586;720613;741969;747447
8-Jährige;733904;721168;738238;725807;745883
9-Jährige;729770;740846;726909;743761;729897
10-Jährige;715498;736082;746345;732376;747757
11-Jährige;725080;721745;741530;751663;736417
12-Jährige;741434;730820;726923;746670;755570
13-Jährige;741827;746890;735760;731698;750180
14-Jährige;754356;747228;751622;740506;735170
15-Jährige;774861;760238;752351;756823;744218
16-Jährige;817175;781964;766517;757882;760578
17-Jährige;829658;824185;787745;771938;761348
18-Jährige;852649;841946;835762;798514;779039
19-Jährige;898526;872234;861102;854086;811591
20-Jährige;896869;918164;891659;878869;865943
21-Jährige;883871;913985;934518;905902;885430
22-Jährige;900327;899827;929523;947646;910983
23-Jährige;935857;918306;916924;944591;955511
24-Jährige;957107;952232;934648;931423;952624
25-Jährige;996131;971610;967092;947032;939020
26-Jährige;1094013;1009672;985364;978142;953617
27-Jährige;1081506;1105660;1021919;995515;984464
28-Jährige;1108891;1092555;1116459;1030314;1000769
29-Jährige;1086215;1118583;1102501;1123468;1035069
30-Jährige;1068203;1094733;1127589;1109227;1127628
31-Jährige;1036328;1075886;1103635;1133582;1112935
32-Jährige;1029887;1043548;1083657;1109010;1136859
33-Jährige;1032181;1036879;1050793;1088700;1112354
34-Jährige;1054476;1039206;1043355;1055201;1091312
35-Jährige;1045463;1060221;1045184;1048086;1058097
36-Jährige;1050450;1051212;1065675;1048762;1050221
37-Jährige;999664;1056495;1056516;1069168;1050675
38-Jährige;985590;1004728;1060769;1059479;1070818
39-Jährige;976871;990554;1009272;1063715;1061065
40-Jährige;957877;981486;995070;1011818;1065188
41-Jährige;933123;962843;985641;997428;1013187
42-Jährige;945184;937518;966513;987623;998596
43-Jährige;953024;949657;941433;968885;988332
44-Jährige;1032778;956853;953081;943272;969585
45-Jährige;1135810;1035587;959668;954462;944048
46-Jährige;1177742;1138293;1038269;960829;954793
47-Jährige;1264331;1179668;1140019;1038797;960699
48-Jährige;1323771;1265662;1180738;1139590;1038215
49-Jährige;1358258;1324077;1265825;1179680;1138105
50-Jährige;1393957;1357827;1323697;1263945;1177845
51-Jährige;1397753;1392300;1356220;1320960;1261618
52-Jährige;1421951;1395078;1389766;1352770;1318051
53-Jährige;1408732;1418449;1391794;1385608;1348886
54-Jährige;1361914;1404391;1414471;1386952;1380824
55-Jährige;1340408;1357082;1399366;1408832;1381357
56-Jährige;1293120;1334645;1351589;1392942;1402572
57-Jährige;1254555;1286991;1327937;1344388;1385607
58-Jährige;1182584;1247579;1279695;1319852;1336643
59-Jährige;1152459;1175219;1239631;1271291;1311139
60-Jährige;1117653;1144314;1166642;1230109;1261935
61-Jährige;1079772;1108669;1135091;1157125;1220021
62-Jährige;1055517;1070337;1098993;1124758;1146667
63-Jährige;1017147;1045334;1059645;1087957;1113442
64-Jährige;1011191;1006399;1033543;1047822;1076072
65-Jährige;986117;999682;994300;1021046;1035309
66-Jährige;980637;973689;986573;981186;1007452
67-Jährige;942547;967521;960173;972595;967555
68-Jährige;855561;928887;953314;946118;958288
69-Jährige;798439;841915;914137;938087;930500
70-Jährige;690163;784815;827191;898100;921770
71-Jährige;601545;676907;770080;811462;881247
72-Jährige;796592;589302;662844;754507;795008
73-Jährige;800408;779008;575993;648189;737688
74-Jährige;766229;781877;760437;561837;632357
75-Jährige;917490;746906;761531;740528;546752
76-Jährige;947484;892443;726066;740375;718997
77-Jährige;912772;918608;865057;704285;717058
78-Jährige;826172;882457;887604;836403;680345
79-Jährige;745639;795009;849126;854829;804876
80-Jährige;692490;713800;761230;814346;818459
81-Jährige;636554;658716;679410;726011;775452
82-Jährige;557352;601037;622557;643708;687458
83-Jährige;419843;521955;563565;585337;604464
84-Jährige;388732;389704;484835;524879;544669
85 Jahre und mehr;2246939;2265473;2277509;2386854;2505932
Insgesamt;82521653;82792351;83019213;83166711;83155031
__________
"Bis 1989: Früheres Bundesgebiet

Ab 2011: Ergebnisse auf Grundlage des Zensus 2011."
© Statistisches Bundesamt (Destatis), 2021
Stand: 31.01.2022 / 09:50:22
