date,name,R_Mean,Vorwarnzeit,Vorwarnzeit_ROR,cases,deaths,I_cases,I_dead
2020-03-13,"Bielefeld, Stadt",4.522543258302015,NA,0,1,0,0,0
2020-03-14,"Bielefeld, Stadt",4.458043031014411,NA,0,2,0,1,0
2020-03-15,"Bielefeld, Stadt",3.844308395946379,NA,0,3,0,1,0
2020-03-16,"Bielefeld, Stadt",8.71475043526704,NA,0,4,0,1,0
2020-03-17,"Bielefeld, Stadt",4.412424678791222,NA,0,15,0,11,0
2020-03-18,"Bielefeld, Stadt",3.0713243237785672,NA,0,16,0,1,0
2020-03-19,"Bielefeld, Stadt",2.2285563044394445,NA,0,19,0,3,0
2020-03-20,"Bielefeld, Stadt",1.781420340081334,NA,0,19,0,0,0
2020-03-21,"Bielefeld, Stadt",2.0272067752085,NA,0,20,0,1,0
2020-03-22,"Bielefeld, Stadt",2.024941338506162,NA,0,27,0,7,0
2020-03-23,"Bielefeld, Stadt",1.119797525854816,NA,0,32,0,5,0
2020-03-24,"Bielefeld, Stadt",1.092897700119921,NA,0,33,0,1,0
2020-03-25,"Bielefeld, Stadt",0.9786298066031922,NA,0,35,0,2,0
2020-03-26,"Bielefeld, Stadt",1.090444116572297,NA,0,36,0,1,0
2020-03-27,"Bielefeld, Stadt",2.7839741802930695,NA,0,38,0,2,0
2020-03-28,"Bielefeld, Stadt",2.2186724396847093,NA,0,70,0,32,0
2020-03-29,"Bielefeld, Stadt",3.38393478715169,NA,0,75,0,5,0
2020-03-30,"Bielefeld, Stadt",2.9874370467858347,NA,0,126,0,51,0
2020-03-31,"Bielefeld, Stadt",2.2150588097465818,NA,0,145,0,19,0
2020-04-01,"Bielefeld, Stadt",1.7437708059888086,NA,0,150,1,5,1
2020-04-02,"Bielefeld, Stadt",1.4727328228718004,NA,0,150,1,0,0
2020-04-03,"Bielefeld, Stadt",1.108667674790843,NA,0,150,1,0,0
2020-04-04,"Bielefeld, Stadt",1.0940493448319983,NA,0,163,1,13,0
2020-04-05,"Bielefeld, Stadt",0.5221585061868603,NA,0,171,1,8,0
2020-04-06,"Bielefeld, Stadt",0.5956563932179133,NA,0,172,1,1,0
2020-04-07,"Bielefeld, Stadt",0.6850996551237247,NA,0,195,2,23,1
2020-04-08,"Bielefeld, Stadt",0.8940617728933609,NA,0,202,2,7,0
2020-04-09,"Bielefeld, Stadt",0.977202626163511,NA,0,213,2,11,0
2020-04-10,"Bielefeld, Stadt",0.8712040967539845,NA,0,216,2,3,0
2020-04-11,"Bielefeld, Stadt",0.902744446571416,NA,0,221,2,5,0
2020-04-12,"Bielefeld, Stadt",1.3899354834189086,NA,0,230,2,9,0
2020-04-13,"Bielefeld, Stadt",1.0749577246132245,NA,0,261,3,31,1
2020-04-14,"Bielefeld, Stadt",1.0884991958090542,NA,0,266,3,5,0
2020-04-15,"Bielefeld, Stadt",1.0625220107374436,NA,0,277,3,11,0
2020-04-16,"Bielefeld, Stadt",1.007105519938437,NA,0,287,4,10,1
2020-04-17,"Bielefeld, Stadt",0.9338576829033005,NA,0,287,4,0,0
2020-04-18,"Bielefeld, Stadt",0.830415757637218,NA,0,287,4,0,0
2020-04-19,"Bielefeld, Stadt",0.4489202353448343,NA,0,288,4,1,0
2020-04-20,"Bielefeld, Stadt",1.2612751964197335,NA,0,291,4,3,0
2020-04-21,"Bielefeld, Stadt",1.1179005087228957,NA,0,345,4,54,0
2020-04-22,"Bielefeld, Stadt",0.917266543006741,NA,0,345,4,0,0
2020-04-23,"Bielefeld, Stadt",0.968335070727248,NA,0,345,4,0,0
2020-04-24,"Bielefeld, Stadt",0.9828163805012047,NA,0,348,4,3,0
2020-04-25,"Bielefeld, Stadt",1.1329678200877076,NA,0,348,4,0,0
2020-04-26,"Bielefeld, Stadt",1.1991251620588956,NA,0,358,4,10,0
2020-04-27,"Bielefeld, Stadt",0.36661239356526754,NA,0,366,4,8,0
2020-04-28,"Bielefeld, Stadt",0.3894383289481347,103,87,368,4,2,0
2020-04-29,"Bielefeld, Stadt",0.489391996691267,107,91,368,4,0,0
2020-04-30,"Bielefeld, Stadt",0.4921081797635044,106,93,370,4,2,0
2020-05-01,"Bielefeld, Stadt",0.5525132474663915,88,85,370,4,0,0
2020-05-02,"Bielefeld, Stadt",0.34824060875660595,93,90,370,4,0,0
2020-05-03,"Bielefeld, Stadt",0.2436675170176411,101,92,370,4,0,0
2020-05-04,"Bielefeld, Stadt",0.2527814234466583,93,91,373,4,3,0
2020-05-05,"Bielefeld, Stadt",0.3037678789971718,91,93,374,4,1,0
2020-05-06,"Bielefeld, Stadt",0.2588252799969648,90,88,374,4,0,0
2020-05-07,"Bielefeld, Stadt",0.3089100358105934,91,88,374,4,0,0
2020-05-08,"Bielefeld, Stadt",0.5171906331021138,92,88,374,4,0,0
2020-05-09,"Bielefeld, Stadt",0.6837462067734938,91,88,376,4,2,0
2020-05-10,"Bielefeld, Stadt",0.7548024043073897,92,88,377,4,1,0
2020-05-11,"Bielefeld, Stadt",0.8124311398722511,92,87,380,4,3,0
2020-05-12,"Bielefeld, Stadt",1.2956897134984144,94,87,381,4,1,0
2020-05-13,"Bielefeld, Stadt",1.2950163685746108,99,85,385,5,4,1
2020-05-14,"Bielefeld, Stadt",1.2378756774779005,91,90,385,5,0,0
2020-05-15,"Bielefeld, Stadt",1.795126787754418,82,89,385,5,0,0
2020-05-16,"Bielefeld, Stadt",1.730765746293632,88,93,393,5,8,0
2020-05-17,"Bielefeld, Stadt",1.4435396972805548,91,93,395,5,2,0
2020-05-18,"Bielefeld, Stadt",1.468238920238791,92,96,397,5,2,0
2020-05-19,"Bielefeld, Stadt",1.229199964047008,91,91,400,5,3,0
2020-05-20,"Bielefeld, Stadt",1.1672303028642874,92,94,402,6,2,1
2020-05-21,"Bielefeld, Stadt",1.1381881995872016,89,98,402,6,0,0
