Entity,Code,Day,Daily ICU occupancy,145332-annotations
Austria,AUT,2020-04-01,215,
Austria,AUT,2020-04-02,219,
Austria,AUT,2020-04-03,245,
Austria,AUT,2020-04-04,245,
Austria,AUT,2020-04-05,244,
Austria,AUT,2020-04-06,250,
Austria,AUT,2020-04-07,243,
Austria,AUT,2020-04-08,267,
Austria,AUT,2020-04-09,266,
Austria,AUT,2020-04-10,261,
Austria,AUT,2020-04-11,245,
Austria,AUT,2020-04-12,243,
Austria,AUT,2020-04-13,239,
Austria,AUT,2020-04-14,243,
Austria,AUT,2020-04-15,232,
Austria,AUT,2020-04-16,238,
Austria,AUT,2020-04-17,227,
Austria,AUT,2020-04-18,208,
Austria,AUT,2020-04-19,204,
Austria,AUT,2020-04-20,194,
Austria,AUT,2020-04-21,196,
Austria,AUT,2020-04-22,176,
Austria,AUT,2020-04-23,169,
Austria,AUT,2020-04-24,156,
Austria,AUT,2020-04-25,148,
Austria,AUT,2020-04-26,145,
Austria,AUT,2020-04-27,140,
Austria,AUT,2020-04-28,136,
Austria,AUT,2020-04-29,131,
Austria,AUT,2020-04-30,128,
Austria,AUT,2020-05-01,124,
Austria,AUT,2020-05-02,114,
Austria,AUT,2020-05-03,114,
Austria,AUT,2020-05-04,111,
Austria,AUT,2020-05-05,104,
Austria,AUT,2020-05-06,97,
Austria,AUT,2020-05-07,92,
Austria,AUT,2020-05-08,81,
Austria,AUT,2020-05-09,79,
Austria,AUT,2020-05-10,72,
Austria,AUT,2020-05-11,68,
Austria,AUT,2020-05-12,59,
Austria,AUT,2020-05-13,55,
Austria,AUT,2020-05-14,54,
Austria,AUT,2020-05-15,47,
Austria,AUT,2020-05-16,50,
Austria,AUT,2020-05-17,48,
Austria,AUT,2020-05-18,45,
Austria,AUT,2020-05-19,39,
Austria,AUT,2020-05-20,37,
Austria,AUT,2020-05-21,32,
Austria,AUT,2020-05-22,31,
Austria,AUT,2020-05-23,28,
Austria,AUT,2020-05-24,29,
Austria,AUT,2020-05-25,31,
Austria,AUT,2020-05-26,32,
Austria,AUT,2020-05-27,32,
Austria,AUT,2020-05-28,30,
Austria,AUT,2020-05-29,25,
Austria,AUT,2020-05-30,23,
Austria,AUT,2020-05-31,27,
Austria,AUT,2020-06-01,29,
Austria,AUT,2020-06-02,26,
Austria,AUT,2020-06-03,21,
Austria,AUT,2020-06-04,22,
