"","stichtag","vorwarnzeit"
"0",0,107
"1",1,107
"2",2,108
"3",3,109
"4",4,110
"5",5,111
"6",6,111
"7",7,109
"8",8,112
"9",9,117
"10",10,119
"11",11,120
"12",12,120
"13",13,120
"14",14,118
"15",15,122
"16",16,125
"17",17,127
"18",18,129
"19",19,129
"20",20,128
"21",21,125
"22",22,127
"23",23,129
"24",24,129
"25",25,129
"26",26,127
"27",27,125
"28",28,121
"29",29,123
"30",30,124
"31",31,122
"32",32,121
"33",33,121
"34",34,119
"35",35,116
"36",36,117
"37",37,117
"38",38,114
"39",39,112
"40",40,108
"41",41,107
"42",42,107
"43",43,111
"44",44,117
"45",45,121
"46",46,131
"47",47,132
"48",48,129
"49",49,127
"50",50,129
"51",51,130
"52",52,127
"53",53,127
"54",54,126
"55",55,126
"56",56,126
"57",57,128
"58",58,129
"59",59,131
"60",60,130
"61",61,125
"62",62,118
"63",63,116
"64",64,117
"65",65,119
"66",66,119
"67",67,121
"68",68,119
"69",69,115
"70",70,112
"71",71,112
"72",72,113
"73",73,110
"74",74,110
"75",75,108
"76",76,106
"77",77,103
"78",78,104
"79",79,104
"80",80,103
"81",81,100
"82",82,98
"83",83,95
"84",84,93
"85",85,94
"86",86,97
"87",87,99
"88",88,97
"89",89,95
"90",90,90
"91",91,87
"92",92,87
"93",93,85
"94",94,83
"95",95,80
"96",96,76
"97",97,73
"98",98,70
"99",99,69
"100",100,69
"101",101,66
"102",102,64
"103",103,61
"104",104,60
"105",105,59
"106",106,60
"107",107,60
"108",108,60
"109",109,57
"110",110,52
"111",111,46
"112",112,43
"113",113,44
"114",114,43
"115",115,41
"116",116,39
"117",117,38
"118",118,35
"119",119,34
"120",120,35
"121",121,37
"122",122,37
"123",123,38
"124",124,38
"125",125,37
"126",126,36
"127",127,39
"128",128,43
"129",129,45
"130",130,48
"131",131,50
"132",132,51
"133",133,51
"134",134,55
"135",135,61
"136",136,68
"137",137,76
"138",138,85
"139",139,92
"140",140,96
"141",141,104
