vacc_date,Bundesland,viert_praxen
2021-09-01,Baden-Württemberg,NA
2021-09-01,Bayern,NA
2021-09-01,Berlin,NA
2021-09-01,Niedersachsen,NA
2021-09-01,Nordrhein-Westfalen,NA
2021-09-02,Bayern,NA
2021-09-02,Nordrhein-Westfalen,NA
2021-09-02,Rheinland-Pfalz,NA
2021-09-02,Schleswig-Holstein,NA
2021-09-03,Bayern,NA
2021-09-03,Hessen,NA
2021-09-03,Niedersachsen,NA
2021-09-03,Nordrhein-Westfalen,NA
2021-09-03,Sachsen-Anhalt,NA
2021-09-04,Bayern,NA
2021-09-04,Brandenburg,NA
2021-09-04,Niedersachsen,NA
2021-09-04,Nordrhein-Westfalen,NA
2021-09-05,Bayern,NA
2021-09-05,Schleswig-Holstein,NA
2021-09-06,Bayern,NA
2021-09-06,Hessen,NA
2021-09-06,Mecklenburg-Vorpommern,NA
2021-09-06,Nordrhein-Westfalen,NA
2021-09-07,Bayern,NA
2021-09-07,Hessen,NA
2021-09-07,Nordrhein-Westfalen,NA
2021-09-07,Rheinland-Pfalz,NA
2021-09-08,Baden-Württemberg,NA
2021-09-08,Bayern,NA
2021-09-08,Brandenburg,NA
2021-09-08,Niedersachsen,NA
2021-09-08,Nordrhein-Westfalen,NA
2021-09-09,Bayern,NA
2021-09-09,Rheinland-Pfalz,NA
2021-09-10,Bayern,NA
2021-09-10,Nordrhein-Westfalen,NA
2021-09-10,Rheinland-Pfalz,NA
2021-09-11,Bayern,NA
2021-09-11,Nordrhein-Westfalen,NA
2021-09-11,Schleswig-Holstein,NA
2021-09-12,Nordrhein-Westfalen,NA
2021-09-12,Schleswig-Holstein,NA
2021-09-13,Bayern,NA
2021-09-13,Niedersachsen,NA
2021-09-13,Nordrhein-Westfalen,NA
2021-09-13,Rheinland-Pfalz,NA
2021-09-14,Bayern,NA
2021-09-14,Hessen,NA
2021-09-14,Niedersachsen,NA
2021-09-14,Rheinland-Pfalz,NA
2021-09-15,Baden-Württemberg,NA
2021-09-15,Bayern,NA
2021-09-15,Bremen,NA
2021-09-15,Niedersachsen,NA
2021-09-15,Nordrhein-Westfalen,NA
2021-09-15,Schleswig-Holstein,NA
2021-09-15,Thüringen,NA
2021-09-16,Bayern,NA
2021-09-16,Brandenburg,NA
2021-09-16,Niedersachsen,NA
2021-09-16,Nordrhein-Westfalen,NA
2021-09-17,Bayern,NA
2021-09-17,Bremen,NA
2021-09-17,Hamburg,NA
2021-09-17,Niedersachsen,NA
2021-09-17,Nordrhein-Westfalen,NA
2021-09-18,Bayern,NA
2021-09-19,Bayern,NA
2021-09-19,Nordrhein-Westfalen,NA
2021-09-19,Rheinland-Pfalz,NA
2021-09-20,Bayern,NA
2021-09-20,Niedersachsen,NA
2021-09-20,Nordrhein-Westfalen,NA
2021-09-21,Bayern,NA
2021-09-21,Hessen,NA
2021-09-21,Niedersachsen,NA
2021-09-21,Nordrhein-Westfalen,NA
2021-09-21,Sachsen-Anhalt,NA
2021-09-22,Baden-Württemberg,NA
2021-09-22,Bayern,NA
2021-09-22,Berlin,NA
2021-09-22,Brandenburg,NA
2021-09-22,Niedersachsen,NA
2021-09-22,Nordrhein-Westfalen,NA
2021-09-22,Sachsen-Anhalt,NA
2021-09-22,Schleswig-Holstein,NA
2021-09-23,Bayern,NA
2021-09-23,Hessen,NA
2021-09-23,Niedersachsen,NA
2021-09-23,Nordrhein-Westfalen,NA
2021-09-23,Rheinland-Pfalz,NA
2021-09-24,Bayern,NA
2021-09-24,Hessen,NA
2021-09-24,Niedersachsen,NA
2021-09-24,Nordrhein-Westfalen,NA
2021-09-24,Sachsen-Anhalt,NA
2021-09-24,Thüringen,NA
2021-09-25,Bayern,NA
2021-09-25,Berlin,NA
2021-09-25,Niedersachsen,NA
2021-09-25,Nordrhein-Westfalen,NA
2021-09-25,Schleswig-Holstein,NA
2021-09-26,Bayern,NA
2021-09-26,Nordrhein-Westfalen,NA
2021-09-27,Baden-Württemberg,NA
2021-09-27,Bayern,NA
2021-09-27,Niedersachsen,NA
2021-09-27,Nordrhein-Westfalen,NA
2021-09-27,Rheinland-Pfalz,NA
2021-09-28,Bayern,NA
2021-09-28,Hessen,NA
2021-09-28,Mecklenburg-Vorpommern,NA
2021-09-28,Niedersachsen,NA
2021-09-28,Nordrhein-Westfalen,NA
2021-09-28,Rheinland-Pfalz,NA
2021-09-29,Bayern,NA
2021-09-29,Niedersachsen,NA
2021-09-29,Nordrhein-Westfalen,NA
2021-09-30,Baden-Württemberg,NA
2021-09-30,Bayern,NA
2021-09-30,Bremen,NA
2021-09-30,Hessen,NA
2021-09-30,Niedersachsen,NA
2021-09-30,Nordrhein-Westfalen,NA
2021-09-30,Rheinland-Pfalz,NA
2021-09-30,Thüringen,NA
2021-10-01,Baden-Württemberg,NA
2021-10-01,Bayern,NA
2021-10-02,Bayern,NA
2021-10-02,Thüringen,NA
2021-10-03,Bayern,NA
2021-10-04,Bayern,NA
2021-10-04,Niedersachsen,NA
2021-10-05,Bayern,NA
2021-10-05,Brandenburg,NA
2021-10-06,Bayern,NA
2021-10-06,Bremen,NA
2021-10-06,Niedersachsen,NA
2021-10-07,Baden-Württemberg,NA
2021-10-07,Bayern,NA
2021-10-07,Hessen,NA
2021-10-07,Nordrhein-Westfalen,NA
2021-10-08,Bayern,NA
2021-10-09,Bayern,NA
2021-10-09,Niedersachsen,NA
2021-10-09,Nordrhein-Westfalen,NA
2021-10-11,Baden-Württemberg,NA
2021-10-11,Niedersachsen,NA
2021-10-12,Bayern,NA
2021-10-13,Bayern,NA
2021-10-13,Brandenburg,NA
2021-10-13,Niedersachsen,NA
2021-10-13,Thüringen,NA
2021-10-14,Bayern,NA
2021-10-14,Niedersachsen,NA
2021-10-14,Nordrhein-Westfalen,NA
2021-10-15,Bayern,NA
2021-10-15,Schleswig-Holstein,NA
2021-10-16,Bayern,NA
2021-10-16,Thüringen,NA
