"","date","dosen_Impfungen_Arztpraxen","Anzahl_Praxen","Dosen_pro_Praxis"
"1",2021-03-10,971,29,33
"2",2021-03-11,655,22,30
"3",2021-03-12,210,14,15
"4",2021-03-13,156,6,26
"5",2021-03-14,10,1,10
"6",2021-03-15,283,14,20
"7",2021-03-16,547,23,24
"8",2021-03-17,617,29,21
"9",2021-03-18,423,22,19
"10",2021-03-19,531,27,20
"11",2021-03-20,324,11,29
"12",2021-03-22,1528,69,22
"13",2021-03-23,4988,169,30
"14",2021-03-24,5792,222,26
"15",2021-03-25,5945,261,23
"16",2021-03-26,6314,272,23
"17",2021-03-27,2350,59,40
"18",2021-03-28,191,11,17
"19",2021-03-29,5948,256,23
"20",2021-03-30,12156,570,21
"21",2021-03-31,16325,968,17
"22",2021-04-01,20132,1285,16
"23",2021-04-02,1524,85,18
"24",2021-04-03,1399,43,33
"25",2021-04-04,136,8,17
"26",2021-04-05,1310,29,45
"27",2021-04-06,36758,2844,13
"28",2021-04-07,306225,15983,19
"29",2021-04-08,325502,17739,18
