periode,Altersgruppe,quote_its,beginn,ende
1,bis 60,1.8979511768058663,2020-01-01,2020-03-31
1,60-80,16.49020221745006,2020-01-01,2020-03-31
1,ueber 80,13.075976560212458,2020-01-01,2020-03-31
2,bis 60,1.7683479548417966,2020-04-01,2020-04-30
2,60-80,10.631237964288431,2020-04-01,2020-04-30
2,ueber 80,5.265683442524031,2020-04-01,2020-04-30
3,bis 60,0.8864314027578917,2020-05-01,2020-05-31
3,60-80,15.856334335935395,2020-05-01,2020-05-31
3,ueber 80,3.9394873734861666,2020-05-01,2020-05-31
4,bis 60,0.8314149503576,2020-06-01,2020-09-30
4,60-80,8.848658129215302,2020-06-01,2020-09-30
4,ueber 80,8.505011663285115,2020-06-01,2020-09-30
5,bis 60,0.5916862170445923,2020-10-01,2020-11-30
5,60-80,8.139502232247173,2020-10-01,2020-11-30
5,ueber 80,8.15785472610003,2020-10-01,2020-11-30
6,bis 60,0.7882696401905693,2020-12-01,2021-12-31
6,60-80,7.687285010044841,2020-12-01,2021-12-31
6,ueber 80,4.974096003731346,2020-12-01,2021-12-31
