"Kennziffer";"Raumeinheit";"Aggregat";"Einwohner 65 Jahre und älter";"Einwohnerdichte";"Frauenanteil";"Ausländeranteil";"Anteil Schutzsuchender an Bevölkerung";"Haushalte mit niedrigem Einkommen";"Stimmenanteile AfD";"Wahlbeteiligung"
1001;"Flensburg, Stadt";"krsfr. Stadt";20,2;1560;50,2;13,3;2,9;34,8;7,5;70,3
1002;"Kiel, Stadt";"krsfr. Stadt";18,5;2090;51,3;11,3;3;38,3;6,9;73,5
1003;"Lübeck, Stadt";"krsfr. Stadt";23,2;1010;52;9,7;2,3;37;8,9;70,7
1004;"Neumünster, Stadt";"krsfr. Stadt";22,6;1108;50,6;11;2,8;34,7;10,3;66
1051;"Dithmarschen";"Landkreis";24,6;93;50,6;5,6;2;32,9;8,6;72,2
1053;"Herzogtum Lauenburg";"Landkreis";22,3;155;50,9;7,5;2;27,3;10,2;76,8
1054;"Nordfriesland";"Landkreis";23,9;79;51;6,8;2;33;5,8;74,7
1055;"Ostholstein";"Landkreis";27,3;151;51,7;5,5;1,7;32,2;8,5;75,3
1056;"Pinneberg";"Landkreis";22,1;471;50,9;10,1;2,4;25,6;8,6;78,1
1057;"Plön";"Landkreis";25,8;112;51,4;4,7;1,9;28,4;7,7;79,6
1058;"Rendsburg-Eckernförde";"Landkreis";23,2;125;50,8;5;2;27,8;7,3;78,2
1059;"Schleswig-Flensburg";"Landkreis";23,6;96;50,5;5,1;1,7;30;6,6;76,5
1060;"Segeberg";"Landkreis";21,7;198;50,6;8,1;2,1;26;9;76,5
1061;"Steinburg";"Landkreis";22,6;125;50,6;6,6;2,2;30,6;8,2;74,8
1062;"Stormarn";"Landkreis";23;334;51,1;7;2;21,3;9,1;80,4
2000;"Hamburg, Stadt";"krsfr. Stadt";18,4;2424;51;16,2;2,9;33,4;7,8;75,4
3101;"Braunschweig, Stadt";"krsfr. Stadt";21;1287;50,5;9,7;1,5;35,5;8,4;76,4
3102;"Salzgitter, Stadt";"krsfr. Stadt";22,8;466;50,3;16,9;4,3;33,4;16,4;70,9
3103;"Wolfsburg, Stadt";"krsfr. Stadt";22,3;606;50,3;14,3;2,5;28,9;11,7;73,2
3151;"Gifhorn";"Landkreis";19,8;112;49,9;6,2;1,4;28,6;11,4;76,6
3153;"Goslar";"Landkreis";27,2;142;50,6;8,9;2,3;34,5;11,1;73,4
3154;"Helmstedt";"Landkreis";23,2;136;50,4;6,6;1,8;31,1;9,9;73,7
3155;"Northeim";"Landkreis";25,3;105;50,8;5,9;2;32,2;9,5;74,8
3157;"Peine";"Landkreis";21,4;249;50,6;7,2;2,1;31,1;10,3;77
3158;"Wolfenbüttel";"Landkreis";23,4;166;50,5;5,9;1,9;31,7;9,9;79,3
3159;"Göttingen";"Landkreis";22,3;187;50,9;8,1;1,9;34,6;8,1;76,3
3241;"Region Hannover";"Landkreis";21,1;502;51,1;13,1;3;33,5;9,4;76,7
3251;"Diepholz";"Landkreis";22,2;108;50,3;7,8;2,1;27,3;8,4;76,2
3252;"Hameln-Pyrmont";"Landkreis";25,4;186;51,7;9,7;2,8;32,9;10,5;74,1
3254;"Hildesheim";"Landkreis";23,2;229;51,3;7,6;2,2;30,6;9,3;77,1
3255;"Holzminden";"Landkreis";26;102;50,5;7;2;32,2;9,6;73,9
3256;"Nienburg (Weser)";"Landkreis";22;87;50,3;7,7;2,8;31,7;9,8;72,8
3257;"Schaumburg";"Landkreis";24,4;234;51,1;8,2;2,5;31,2;10,3;76,2
3351;"Celle";"Landkreis";23,2;115;50,8;7,4;2,6;32,6;11,7;74,8
3352;"Cuxhaven";"Landkreis";25;96;51;6,2;1,9;30,3;8,9;75,1
3353;"Harburg";"Landkreis";22,2;201;50,7;7,3;1,5;25,1;10;80,8
3354;"Lüchow-Dannenberg";"Landkreis";27,6;39;50,9;5,3;1,3;35,1;7,8;73,6
3355;"Lüneburg";"Landkreis";19,8;138;51,1;6,6;2,2;30,7;9,2;78,6
3356;"Osterholz";"Landkreis";23,2;173;50,8;5,3;1,8;27,5;9,6;77,8
3357;"Rotenburg (Wümme)";"Landkreis";20,9;79;49,7;6;1,8;30,1;8,1;76,5
3358;"Heidekreis";"Landkreis";22,3;74;50,1;7,7;1,8;31,8;9,7;74,6
3359;"Stade";"Landkreis";21,2;159;50,3;8;2,2;28;9,5;76,7
3360;"Uelzen";"Landkreis";25;63;51,1;5,5;1,6;33;9,4;75,4
3361;"Verden";"Landkreis";22;173;50,8;7,2;2,4;27,3;9,7;77
3401;"Delmenhorst, Stadt";"krsfr. Stadt";22;1241;50,5;14,6;4;34,1;13,1;69,6
3402;"Emden, Stadt";"krsfr. Stadt";21;450;49,9;9,7;2,6;33,5;10;70,7
3403;"Oldenburg (Oldenburg), Stadt";"krsfr. Stadt";18,9;1621;52,2;9,3;3,1;34,8;6,7;77,3
3404;"Osnabrück, Stadt";"krsfr. Stadt";18,7;1372;51,6;12,7;2,9;34,5;6,2;75,4
3405;"Wilhelmshaven, Stadt";"krsfr. Stadt";26,2;713;50,8;8,5;3,5;34,7;10,6;69,6
3451;"Ammerland";"Landkreis";22,8;169;51,1;5,6;1,9;32,2;7,9;77
3452;"Aurich";"Landkreis";22,5;148;50,7;5,4;1,9;34,2;8,9;74,4
3453;"Cloppenburg";"Landkreis";16,2;118;49,4;10,1;2,1;29,7;9,1;72,3
3454;"Emsland";"Landkreis";18,7;112;49,2;10,3;2;28,8;6,3;77
3455;"Friesland";"Landkreis";25,8;162;51,2;4,3;2;33,4;8,2;75,2
3456;"Grafschaft Bentheim";"Landkreis";20,4;138;50;14,1;1,7;30;5,3;76,7
3457;"Leer";"Landkreis";21,1;156;50,1;7,5;1,8;34,6;9,2;73,7
3458;"Oldenburg";"Landkreis";21;122;50,4;8,1;2,2;30,6;8,9;78,3
