krs17;krs17name;fl17;bev17;bevM17;bevF17;kbez;kbez;ksitz;kslk;kslkname;kreg17;kreg17name;st_kreg ;st_kreg_name ;kslk_kreg;kslk_kreg_name;ktyp4;ktyp4_name;slraum;slraum_name;raumt2010lage_kreis;raumt2010lage_kreis_name;ROR11;ROR11name;rtyp3;rtyp3name;AAG;AAGname;IAB_Typ;IAB_Typ_name;amr16;amr16name;foerd1420;amr_styp3;RBZ;RBZname;NUTS2;NUTS2name;grenzreg_v1;grenzreg_v2;metropolen_IKM_2015_a;metropolen_IKM_2015_b;land;land_name;kv;kv_name;WO;WO_name
1001;Flensburg, Stadt;56,74;88519;44086;44433;41;Kreisfreie Stadt;Flensburg;1;Kreisfreie Stadt;1059000;Schleswig-Flensburg/Flensburg;1;zugehörig zu Kreisregion;2;Landkreis;4;Dünn besiedelter ländlicher Kreis;2;Ländlicher Raum;2;zentral;102;Schleswig-Holstein Nord;3;Ländliche Region;119;AA Flensburg;5;IIIb-Verdichtete Bezirke mit leicht überdurchschnittlicher Arbeitslosigkeit;4;Flensburg;C;3;10;Schleswig-Holstein;DEF0;Schleswig-Holstein;1;1;;;1;Schleswig-Holstein;1;Schleswig-Holstein;1;Westdeutschland
1002;Kiel, Stadt;118,65;247943;120809;127134;41;Kreisfreie Stadt;Kiel;1;Kreisfreie Stadt;1002000;Kiel, Stadt;0;nicht zugehörig zu Kreisregion;1;Kreisfreie Stadt;1;kreisfreie Großstadt;1;Städtischer Raum;2;zentral;101;Schleswig-Holstein Mitte;2;Region mit Verstädterungsansätzen;131;AA Kiel;2;IIa-Großstädtische Bezirke mit erhöhter Arbeitslosigkeit;6;Kiel;C/D;1;10;Schleswig-Holstein;DEF0;Schleswig-Holstein;9;1;;;1;Schleswig-Holstein;1;Schleswig-Holstein;1;Westdeutschland
1003;Lübeck, Stadt;214,21;216318;103884;112434;41;Kreisfreie Stadt;Lübeck;1;Kreisfreie Stadt;1003000;Lübeck, Stadt;0;nicht zugehörig zu Kreisregion;1;Kreisfreie Stadt;1;kreisfreie Großstadt;1;Städtischer Raum;1;sehr zentral;103;Schleswig-Holstein Ost;2;Region mit Verstädterungsansätzen;135;AA Lübeck;5;IIIb-Verdichtete Bezirke mit leicht überdurchschnittlicher Arbeitslosigkeit;5;Lübeck;C/D;1;10;Schleswig-Holstein;DEF0;Schleswig-Holstein;9;2;Metropolregion Hamburg;;1;Schleswig-Holstein;1;Schleswig-Holstein;1;Westdeutschland
1004;Neumünster, Stadt;71,63;79335;39190;40145;41;Kreisfreie Stadt;Neumünster;1;Kreisfreie Stadt;1058000;Rendsburg-Eckernförde/Neumünster;1;zugehörig zu Kreisregion;2;Landkreis;3;Ländlicher Kreis mit Verdichtungsansätzen;2;Ländlicher Raum;2;zentral;101;Schleswig-Holstein Mitte;2;Region mit Verstädterungsansätzen;139;AA Neumünster;5;IIIb-Verdichtete Bezirke mit leicht überdurchschnittlicher Arbeitslosigkeit;6;Kiel;D;1;10;Schleswig-Holstein;DEF0;Schleswig-Holstein;0;1;Metropolregion Hamburg;;1;Schleswig-Holstein;1;Schleswig-Holstein;1;Westdeutschland
1051;Dithmarschen;1428,17;133447;65911;67536;43;Kreis;Heide;2;Landkreis;1051000;Dithmarschen;0;nicht zugehörig zu Kreisregion;2;Landkreis;4;Dünn besiedelter ländlicher Kreis;2;Ländlicher Raum;4;sehr peripher;105;Schleswig-Holstein Süd-West;3;Ländliche Region;127;AA Heide;5;IIIb-Verdichtete Bezirke mit leicht überdurchschnittlicher Arbeitslosigkeit;2;Heide;C;3;10;Schleswig-Holstein;DEF0;Schleswig-Holstein;0;0;Metropolregion Hamburg;;1;Schleswig-Holstein;1;Schleswig-Holstein;1;Westdeutschland
1053;Herzogtum Lauenburg;1263,06;196074;96281;99793;43;Kreis;Ratzeburg;2;Landkreis;1053000;Herzogtum Lauenburg;0;nicht zugehörig zu Kreisregion;2;Landkreis;3;Ländlicher Kreis mit Verdichtungsansätzen;2;Ländlicher Raum;2;zentral;104;Schleswig-Holstein Süd;2;Region mit Verstädterungsansätzen;111;AA Bad Oldesloe;4;IIIa-Verdichtete Bezirke mit leicht unterdurchschnittlicher Arbeitslosigkeit;7;Ratzeburg;D;2;10;Schleswig-Holstein;DEF0;Schleswig-Holstein;0;0;Metropolregion Hamburg;;1;Schleswig-Holstein;1;Schleswig-Holstein;1;Westdeutschland
1054;Nordfriesland;2082,97;165462;81108;84354;43;Kreis;Husum;2;Landkreis;1054000;Nordfriesland;0;nicht zugehörig zu Kreisregion;2;Landkreis;4;Dünn besiedelter ländlicher Kreis;2;Ländlicher Raum;4;sehr peripher;102;Schleswig-Holstein Nord;3;Ländliche Region;119;AA Flensburg;5;IIIb-Verdichtete Bezirke mit leicht überdurchschnittlicher Arbeitslosigkeit;1;Husum;C;3;10;Schleswig-Holstein;DEF0;Schleswig-Holstein;1;1;;;1;Schleswig-Holstein;1;Schleswig-Holstein;1;Westdeutschland
1055;Ostholstein;1392,58;200584;96850;103734;43;Kreis;Eutin;2;Landkreis;1055000;Ostholstein;0;nicht zugehörig zu Kreisregion;2;Landkreis;3;Ländlicher Kreis mit Verdichtungsansätzen;2;Ländlicher Raum;2;zentral;103;Schleswig-Holstein Ost;2;Region mit Verstädterungsansätzen;135;AA Lübeck;5;IIIb-Verdichtete Bezirke mit leicht überdurchschnittlicher Arbeitslosigkeit;5;Lübeck;C;1;10;Schleswig-Holstein;DEF0;Schleswig-Holstein;9;2;Metropolregion Hamburg;;1;Schleswig-Holstein;1;Schleswig-Holstein;1;Westdeutschland
1056;Pinneberg;664,28;312662;153401;159261;43;Kreis;Pinneberg;2;Landkreis;1056000;Pinneberg;0;nicht zugehörig zu Kreisregion;2;Landkreis;2;Städtischer Kreis;1;Städtischer Raum;1;sehr zentral;104;Schleswig-Holstein Süd;2;Region mit Verstädterungsansätzen;115;AA Elmshorn;4;IIIa-Verdichtete Bezirke mit leicht unterdurchschnittlicher Arbeitslosigkeit;8;Hamburg;C/N;1;10;Schleswig-Holstein;DEF0;Schleswig-Holstein;0;0;Metropolregion Hamburg;;1;Schleswig-Holstein;1;Schleswig-Holstein;1;Westdeutschland
1057;Plön;1083,18;128842;62670;66172;43;Kreis;Plön;2;Landkreis;1057000;Plön;0;nicht zugehörig zu Kreisregion;2;Landkreis;3;Ländlicher Kreis mit Verdichtungsansätzen;2;Ländlicher Raum;3;peripher;101;Schleswig-Holstein Mitte;2;Region mit Verstädterungsansätzen;131;AA Kiel;2;IIa-Großstädtische Bezirke mit erhöhter Arbeitslosigkeit;6;Kiel;D;1;10;Schleswig-Holstein;DEF0;Schleswig-Holstein;9;2;;;1;Schleswig-Holstein;1;Schleswig-Holstein;1;Westdeutschland
