Country,COVID-19-Fälle,Todesfälle,Neue Fälle je 100.000 EW in 14 Tagen,Todesfälle je 100.000 EW in 14 Tagen
Austria,254710,2577,1003,12
Belgium,561803,15938,471,20.6
Bulgaria,129348,3226,657,19.6
Croatia,108014,1445,914,14
Cyprus,9199,46,242,1.4
Czechia,502534,7499,680,20.4
Denmark,73539,797,278,0.8
Estonia,10159,94,285,1.4
Finland,22289,384,76,0.4
France,2206126,50324,503,12.4
Germany,963192,14832,296,3.7
Greece,95137,1815,330,9.1
Hungary,181881,4008,650,14.6
Iceland,5298,26,54,0.6
Ireland,70930,2028,103,1.3
Italy,1455022,51306,759,14.8
Latvia,13693,175,278,3.8
Liechtenstein,1158,13,821,23.7
Lithuania,49393,409,817,6.8
Luxembourg,31484,283,1263,13.8
Malta,9137,117,395,8.2
Netherlands,501503,9111,440,5.3
Norway,33717,314,146,0.5
Poland,909066,14314,833,15.7
Portugal,268721,4056,797,10.1
Romania,430605,10373,601,11.3
Slovakia,97493,709,373,5.8
Slovenia,67080,1156,980,26.5
Spain,1594844,43668,457,9.2
Sweden,225560,6500,631,4.4
United Kingdom,1542611,55935,452,9
