Bundesland,KW,Jahr,JahrKW,anzahl_moderna_auffr_praxen,anzahl_moderna_auffr_alleorte
Baden-Württemberg,1,2022,202201,77498,189417
Baden-Württemberg,2,2022,202202,116846,192927
Baden-Württemberg,3,2022,202203,75220,120634
Baden-Württemberg,4,2022,202204,40015,65539
Baden-Württemberg,5,2022,202205,21539,33625
Baden-Württemberg,6,2022,202206,12696,21590
Baden-Württemberg,7,2022,202207,12293,18384
Baden-Württemberg,8,2022,202208,8885,13721
Baden-Württemberg,9,2022,202209,6100,10996
Baden-Württemberg,10,2022,202210,8299,13895
Baden-Württemberg,11,2022,202211,7383,12766
Baden-Württemberg,12,2022,202212,6562,11996
Baden-Württemberg,13,2022,202213,7436,11710
Baden-Württemberg,14,2022,202214,7793,10855
Baden-Württemberg,15,2022,202215,3667,5375
Baden-Württemberg,16,2022,202216,2661,4705
Baden-Württemberg,17,2022,202217,3725,5765
Baden-Württemberg,18,2022,202218,1836,2289
Baden-Württemberg,22,2021,202122,0,3
Baden-Württemberg,23,2021,202123,0,6
Baden-Württemberg,24,2021,202124,0,28
Baden-Württemberg,25,2021,202125,0,5
Baden-Württemberg,26,2021,202126,0,6
Baden-Württemberg,27,2021,202127,0,11
Baden-Württemberg,28,2021,202128,0,12
Baden-Württemberg,29,2021,202129,0,8
Baden-Württemberg,30,2021,202130,0,8
Baden-Württemberg,31,2021,202131,0,5
Baden-Württemberg,32,2021,202132,0,6
Baden-Württemberg,33,2021,202133,0,4
Baden-Württemberg,34,2021,202134,0,13
Baden-Württemberg,35,2021,202135,17,836
Baden-Württemberg,36,2021,202136,5,315
Baden-Württemberg,37,2021,202137,44,652
Baden-Württemberg,38,2021,202138,132,1169
Baden-Württemberg,39,2021,202139,138,1129
Baden-Württemberg,40,2021,202140,325,376
Baden-Württemberg,41,2021,202141,646,905
Baden-Württemberg,42,2021,202142,1089,1604
Baden-Württemberg,43,2021,202143,1364,2222
Baden-Württemberg,44,2021,202144,1340,3177
Baden-Württemberg,45,2021,202145,3170,6092
Baden-Württemberg,46,2021,202146,5761,12621
Baden-Württemberg,47,2021,202147,23382,43820
Baden-Württemberg,48,2021,202148,146237,247738
Baden-Württemberg,49,2021,202149,268178,462876
Baden-Württemberg,50,2021,202150,282922,471051
Baden-Württemberg,51,2021,202151,162702,263751
Baden-Württemberg,52,2021,202152,96399,216591
Bayern,1,2022,202201,68418,200165
Bayern,2,2022,202202,119536,235404
Bayern,3,2022,202203,85877,154406
Bayern,4,2022,202204,49399,91897
Bayern,5,2022,202205,22921,43371
Bayern,6,2022,202206,14783,26501
Bayern,7,2022,202207,10038,17746
Bayern,8,2022,202208,6950,12441
Bayern,9,2022,202209,4041,9362
Bayern,10,2022,202210,6240,12151
Bayern,11,2022,202211,5716,12582
Bayern,12,2022,202212,5468,11548
Bayern,13,2022,202213,4925,11972
Bayern,14,2022,202214,5121,10603
Bayern,15,2022,202215,3011,6247
Bayern,16,2022,202216,2121,5099
Bayern,17,2022,202217,3097,6003
Bayern,18,2022,202218,1123,2212
