Datum des Erkrankungsbeginns,Punktschätzer der Anzahl Neuerkrankungen (ohne Glättung),Untere Grenze des 95%-Prädiktionsintervalls der Anzahl Neuerkrankungen (ohne Glättung),Obere Grenze des 95%-Prädiktionsintervalls der Anzahl Neuerkrankungen (ohne Glätung),Punktschätzer der Anzahl Neuerkrankungen,Untere Grenze des 95%-Prädiktionsintervalls der Anzahl Neuerkrankungen,Obere Grenze des 95%-Prädiktionsintervalls der Anzahl Neuerkrankungen,Punktschätzer der Reproduktionszahl R,Untere Grenze des 95%-Prädiktionsintervalls der Reproduktionszahl R,Obere Grenze des 95%-Prädiktionsintervalls der Reproduktionszahl R,Punktschätzer des 7-Tage-R Wertes,Untere Grenze des 95%-Prädiktionsintervalls des 7-Tage-R Wertes,Obere Grenze des 95%-Prädiktionsintervalls des 7-Tage-R Wertes
2020-03-02T00:00:00Z,304,289,318,225,212,237,NA,NA,NA,NA,NA,NA
2020-03-03T00:00:00Z,319,302,335,261,246,274,NA,NA,NA,NA,NA,NA
2020-03-04T00:00:00Z,449,433,466,325,310,340,NA,NA,NA,NA,NA,NA
2020-03-05T00:00:00Z,504,484,529,394,377,412,NA,NA,NA,NA,NA,NA
2020-03-06T00:00:00Z,758,732,786,507,488,529,2.26,2.18,2.33,2.34,2.3,2.38
2020-03-07T00:00:00Z,986,957,1014,674,651,698,2.59,2.52,2.65,2.56,2.52,2.61
2020-03-08T00:00:00Z,1336,1309,1370,896,870,924,2.75,2.69,2.82,2.93,2.88,2.99
2020-03-09T00:00:00Z,2017,1986,2053,1274,1246,1305,3.23,3.16,3.32,3.13,3.08,3.18
2020-03-10T00:00:00Z,2570,2530,2607,1727,1695,1761,3.4,3.32,3.48,3.22,3.17,3.26
2020-03-11T00:00:00Z,3239,3184,3285,2291,2252,2329,3.4,3.34,3.47,3.12,3.08,3.16
2020-03-12T00:00:00Z,3602,3552,3648,2857,2813,2898,3.19,3.14,3.25,2.84,2.81,2.87
2020-03-13T00:00:00Z,4362,4296,4422,3444,3390,3490,2.7,2.67,2.74,2.5,2.48,2.52
2020-03-14T00:00:00Z,4429,4372,4489,3908,3851,3961,2.26,2.24,2.29,2.18,2.17,2.2
2020-03-15T00:00:00Z,4680,4617,4732,4268,4209,4322,1.86,1.84,1.89,1.99,1.98,2.01
2020-03-16T00:00:00Z,6013,5963,6071,4871,4812,4928,1.7,1.69,1.72,1.74,1.73,1.75
2020-03-17T00:00:00Z,5228,5168,5296,5087,5030,5147,1.48,1.46,1.49,1.56,1.55,1.57
2020-03-18T00:00:00Z,5289,5229,5345,5302,5244,5361,1.36,1.35,1.37,1.39,1.39,1.4
2020-03-19T00:00:00Z,4731,4665,4788,5315,5256,5375,1.25,1.23,1.25,1.24,1.23,1.24
2020-03-20T00:00:00Z,5321,5256,5378,5142,5079,5202,1.06,1.05,1.07,1.13,1.13,1.14
2020-03-21T00:00:00Z,4446,4372,4500,4947,4880,5003,0.97,0.96,0.98,1.04,1.03,1.04
2020-03-22T00:00:00Z,3817,3760,3884,4579,4513,4637,0.86,0.86,0.87,0.98,0.97,0.98
2020-03-23T00:00:00Z,5158,5102,5211,4686,4622,4743,0.88,0.87,0.89,0.92,0.92,0.92
2020-03-24T00:00:00Z,4074,4017,4138,4374,4312,4433,0.85,0.84,0.86,0.9,0.89,0.9
2020-03-25T00:00:00Z,4416,4354,4479,4367,4308,4428,0.88,0.87,0.89,0.9,0.89,0.9
2020-03-26T00:00:00Z,3998,3951,4049,4412,4356,4469,0.96,0.95,0.97,0.88,0.88,0.89
2020-03-27T00:00:00Z,4129,4077,4194,4154,4099,4215,0.89,0.88,0.9,0.9,0.89,0.9
2020-03-28T00:00:00Z,3888,3831,3943,4108,4053,4166,0.94,0.93,0.95,0.9,0.9,0.91
2020-03-29T00:00:00Z,3261,3207,3327,3819,3766,3878,0.87,0.87,0.88,0.9,0.9,0.91
2020-03-30T00:00:00Z,4394,4329,4465,3918,3861,3982,0.89,0.88,0.9,0.92,0.92,0.93
2020-03-31T00:00:00Z,3581,3524,3638,3781,3723,3843,0.91,0.9,0.92,0.93,0.92,0.93
2020-04-01T00:00:00Z,4034,3979,4088,3818,3760,3879,0.93,0.92,0.94,0.93,0.93,0.94
2020-04-02T00:00:00Z,3726,3671,3783,3934,3876,3993,1.03,1.02,1.04,0.94,0.94,0.95
2020-04-03T00:00:00Z,3726,3652,3783,3766,3706,3823,0.96,0.95,0.97,0.93,0.92,0.94
2020-04-04T00:00:00Z,3003,2956,3060,3622,3564,3678,0.96,0.95,0.97,0.92,0.92,0.93
2020-04-05T00:00:00Z,2695,2632,2737,3287,3228,3340,0.86,0.85,0.87,0.89,0.89,0.9
2020-04-06T00:00:00Z,3350,3295,3415,3193,3133,3248,0.81,0.8,0.82,0.89,0.88,0.89
2020-04-07T00:00:00Z,3058,3007,3122,3026,2972,3083,0.8,0.79,0.81,0.87,0.87,0.88
2020-04-08T00:00:00Z,2882,2829,2938,2996,2940,3053,0.83,0.82,0.84,0.85,0.84,0.86
2020-04-09T00:00:00Z,2698,2645,2750,2997,2944,3056,0.91,0.9,0.92,0.83,0.82,0.84
2020-04-10T00:00:00Z,2324,2269,2377,2740,2687,2797,0.86,0.85,0.87,0.81,0.8,0.81
2020-04-11T00:00:00Z,2016,1971,2066,2480,2428,2533,0.82,0.81,0.83,0.81,0.81,0.82
2020-04-12T00:00:00Z,1949,1901,1997,2247,2196,2297,0.75,0.74,0.76,0.79,0.78,0.79
2020-04-13T00:00:00Z,1890,1845,1936,2045,1996,2094,0.68,0.67,0.69,0.79,0.78,0.79
2020-04-14T00:00:00Z,1955,1904,2010,1952,1905,2002,0.71,0.7,0.72,0.78,0.77,0.78
2020-04-15T00:00:00Z,1939,1883,1991,1933,1883,1983,0.78,0.77,0.79,0.76,0.75,0.76
2020-04-16T00:00:00Z,1747,1702,1793,1883,1833,1932,0.84,0.82,0.85,0.78,0.77,0.79
2020-04-17T00:00:00Z,1647,1606,1700,1822,1773,1873,0.89,0.88,0.91,0.8,0.79,0.81
2020-04-18T00:00:00Z,1431,1393,1478,1691,1646,1740,0.87,0.85,0.89,0.81,0.8,0.81
2020-04-19T00:00:00Z,1306,1267,1347,1533,1492,1579,0.79,0.78,0.81,0.84,0.83,0.85
2020-04-20T00:00:00Z,1574,1537,1616,1489,1451,1535,0.79,0.78,0.81,0.84,0.83,0.84
2020-04-21T00:00:00Z,1349,1307,1395,1415,1376,1459,0.78,0.76,0.79,0.82,0.82,0.83
2020-04-22T00:00:00Z,1296,1252,1338,1381,1341,1424,0.82,0.8,0.83,0.83,0.82,0.84
2020-04-23T00:00:00Z,1267,1232,1310,1371,1332,1415,0.89,0.88,0.91,0.81,0.8,0.82
2020-04-24T00:00:00Z,1145,1106,1185,1264,1224,1307,0.85,0.83,0.87,0.81,0.81,0.82
2020-04-25T00:00:00Z,1006,966,1048,1178,1139,1220,0.83,0.81,0.85,0.83,0.82,0.84
2020-04-26T00:00:00Z,908,872,940,1082,1044,1121,0.78,0.77,0.8,0.82,0.81,0.83
2020-04-27T00:00:00Z,1101,1067,1138,1040,1003,1078,0.76,0.74,0.78,0.82,0.81,0.83
2020-04-28T00:00:00Z,945,909,979,990,953,1026,0.78,0.77,0.8,0.81,0.8,0.82
2020-04-29T00:00:00Z,866,835,899,955,921,989,0.81,0.79,0.84,0.81,0.8,0.82
2020-04-30T00:00:00Z,936,903,972,962,928,997,0.89,0.86,0.91,0.81,0.8,0.83
2020-05-01T00:00:00Z,813,779,844,890,856,923,0.86,0.83,0.88,0.82,0.81,0.84
2020-05-02T00:00:00Z,741,713,775,839,807,872,0.85,0.83,0.87,0.85,0.84,0.86
