"Bundesland";"Bundesland_ID";"Kuerzel";"vollstationaere_dauerpflege"
"Baden-Württemberg";8;"BW";90813
"Bayern";9;"BY";112563
"Berlin";11;"BE";28832
"Brandenburg";12;"BB";24282
"Bremen";4;"HB";5942
"Hamburg";2;"HH";15709
"Hessen";6;"HE";55141
"Mecklenburg-Vorpommern";13;"MV";19111
"Niedersachsen";3;"NI";93364
"Nordrhein-Westfalen";5;"NW";163711
"Rheinland-Pfalz";7;"RP";36244
"Saarland";10;"SL";11405
"Sachsen";14;"SN";50297
"Sachsen-Anhalt";15;"ST";28334
"Schleswig-Holstein";1;"SH";34169
"Thüringen";16;"TH";25000
"Deutschland";0;"DE";794917
