PLZ;MB2010_BBSR;MB2010_BBSRname;MB2010_KV;MB2010_KVname;MB2013_BBSR;MB2013_BBSRname;MB2013_KV;MB2013_KVname;MB2010_Schoepe;Kreis2010;Kreis2010name;Kreis2011;Kreis2011name;Kreis2016;Kreis2016name;Kreistyp2008;Kreistyp2008name;Kreistyp2011;Kreistyp2011name;Kreistyp2013;Kreistyp2013name;Kreistyp2015;Kreistyp2015name;Kreistyp2017;Kreistyp2017name;Kreistyp2018;Kreistyp2018_name;Kreistyp_Lage;Kreistyp_Lage_name;Kreistyp_Kombi;Kreistyp_Kombi_name;ROR11_BBSR;ROR11_BBSRname;ROR11_KV;ROR11_KVname;KV;KVname;BL;BLname
01067;140100;Dresden;140100;Dresden;140100;Dresden;140100;Dresden;140100;14612;Dresden;14612;Dresden;14612;Dresden;1;Kernstadt;1;Kreisfreie Großstädte;1;Kreisfreie Großstädte;1;Kreisfreie Großstädte;1;kreisfreie Großstadt;1;kreisfreie Großstadt;1;sehr zentral;1;Kreisfreie Großstädte, sehr zentral;1401;Oberes Elbtal/Osterzgebirge;1401;Oberes Elbtal/Osterzgebirge;98;Sachsen;14;Sachsen
01069;140100;Dresden;140100;Dresden;140100;Dresden;140100;Dresden;140100;14612;Dresden;14612;Dresden;14612;Dresden;1;Kernstadt;1;Kreisfreie Großstädte;1;Kreisfreie Großstädte;1;Kreisfreie Großstädte;1;kreisfreie Großstadt;1;kreisfreie Großstadt;1;sehr zentral;1;Kreisfreie Großstädte, sehr zentral;1401;Oberes Elbtal/Osterzgebirge;1401;Oberes Elbtal/Osterzgebirge;98;Sachsen;14;Sachsen
01097;140100;Dresden;140100;Dresden;140100;Dresden;140100;Dresden;140100;14612;Dresden;14612;Dresden;14612;Dresden;1;Kernstadt;1;Kreisfreie Großstädte;1;Kreisfreie Großstädte;1;Kreisfreie Großstädte;1;kreisfreie Großstadt;1;kreisfreie Großstadt;1;sehr zentral;1;Kreisfreie Großstädte, sehr zentral;1401;Oberes Elbtal/Osterzgebirge;1401;Oberes Elbtal/Osterzgebirge;98;Sachsen;14;Sachsen
01099;140100;Dresden;140100;Dresden;140100;Dresden;140100;Dresden;140100;14612;Dresden;14612;Dresden;14612;Dresden;1;Kernstadt;1;Kreisfreie Großstädte;1;Kreisfreie Großstädte;1;Kreisfreie Großstädte;1;kreisfreie Großstadt;1;kreisfreie Großstadt;1;sehr zentral;1;Kreisfreie Großstädte, sehr zentral;1401;Oberes Elbtal/Osterzgebirge;1401;Oberes Elbtal/Osterzgebirge;98;Sachsen;14;Sachsen
01108;140100;Dresden;140100;Dresden;140100;Dresden;140100;Dresden;140100;14612;Dresden;14612;Dresden;14612;Dresden;1;Kernstadt;1;Kreisfreie Großstädte;1;Kreisfreie Großstädte;1;Kreisfreie Großstädte;1;kreisfreie Großstadt;1;kreisfreie Großstadt;1;sehr zentral;1;Kreisfreie Großstädte, sehr zentral;1401;Oberes Elbtal/Osterzgebirge;1401;Oberes Elbtal/Osterzgebirge;98;Sachsen;14;Sachsen
01109;140100;Dresden;140100;Dresden;140100;Dresden;140100;Dresden;140100;14612;Dresden;14612;Dresden;14612;Dresden;1;Kernstadt;1;Kreisfreie Großstädte;1;Kreisfreie Großstädte;1;Kreisfreie Großstädte;1;kreisfreie Großstadt;1;kreisfreie Großstadt;1;sehr zentral;1;Kreisfreie Großstädte, sehr zentral;1401;Oberes Elbtal/Osterzgebirge;1401;Oberes Elbtal/Osterzgebirge;98;Sachsen;14;Sachsen
01127;140100;Dresden;140100;Dresden;140100;Dresden;140100;Dresden;140100;14612;Dresden;14612;Dresden;14612;Dresden;1;Kernstadt;1;Kreisfreie Großstädte;1;Kreisfreie Großstädte;1;Kreisfreie Großstädte;1;kreisfreie Großstadt;1;kreisfreie Großstadt;1;sehr zentral;1;Kreisfreie Großstädte, sehr zentral;1401;Oberes Elbtal/Osterzgebirge;1401;Oberes Elbtal/Osterzgebirge;98;Sachsen;14;Sachsen
01129;140100;Dresden;140100;Dresden;140100;Dresden;140100;Dresden;140100;14612;Dresden;14612;Dresden;14612;Dresden;1;Kernstadt;1;Kreisfreie Großstädte;1;Kreisfreie Großstädte;1;Kreisfreie Großstädte;1;kreisfreie Großstadt;1;kreisfreie Großstadt;1;sehr zentral;1;Kreisfreie Großstädte, sehr zentral;1401;Oberes Elbtal/Osterzgebirge;1401;Oberes Elbtal/Osterzgebirge;98;Sachsen;14;Sachsen
01139;140100;Dresden;140100;Dresden;140100;Dresden;140100;Dresden;140100;14612;Dresden;14612;Dresden;14612;Dresden;1;Kernstadt;1;Kreisfreie Großstädte;1;Kreisfreie Großstädte;1;Kreisfreie Großstädte;1;kreisfreie Großstadt;1;kreisfreie Großstadt;1;sehr zentral;1;Kreisfreie Großstädte, sehr zentral;1401;Oberes Elbtal/Osterzgebirge;1401;Oberes Elbtal/Osterzgebirge;98;Sachsen;14;Sachsen
01156;140100;Dresden;140100;Dresden;140100;Dresden;140100;Dresden;140100;14612;Dresden;14612;Dresden;14612;Dresden;1;Kernstadt;1;Kreisfreie Großstädte;1;Kreisfreie Großstädte;1;Kreisfreie Großstädte;1;kreisfreie Großstadt;1;kreisfreie Großstadt;1;sehr zentral;1;Kreisfreie Großstädte, sehr zentral;1401;Oberes Elbtal/Osterzgebirge;1401;Oberes Elbtal/Osterzgebirge;98;Sachsen;14;Sachsen
