KW,ifsg23neuinfiziert,ifsg23neustationaer,ifsg23neuverstorben,ifsg36neuinfiziert,ifsg36neuinfiziert60,ifsg36neustationaer,ifsg36neuverstorben
202016,1793,,,,,,
202017,1451,81,1,,,,
202018,1103,56,2,1605,,,432
202019,1220,51,2,1338,,369,327
202020,765,26,1,1035,,259,238
202021,540,18,2,,,,
202022,454,18,0,,,,
202023,305,16,0,,,,
202024,321,18,0,,,,
202025,222,13,0,,,,
202026,132,4,0,,,,
202031,126,5,1,,,,
202034,197,7,0,,,,
202045,1244,33,1,,,,
202046,1163,26,0,,,,
202047,4539,124,0,,,,
202048,2401,58,2,4188,3273,585,457
202049,2594,74,2,4444,3690,677,602
202050,3526,104,3,6407,5259,794,763
202051,4354,92,3,7422,6276,944,1032
202052,3546,88,4,6392,5573,708,884
202053,3325,78,5,6055,5274,870,1135
202101,3936,93,2,7389,6689,1109,1477
202102,4210,87,1,8942,8005,1164,1626
202103,4187,92,6,8919,7819,1235,1792
202104,3874,119,4,7205,6183,1196,1657
202105,3101,77,7,5386,4633,982,1429
