IdLandkreis,IdBundesland,Bundesland,Landkreis
16077,16,Thüringen,LK Altenburger Land
16076,16,Thüringen,LK Greiz
16075,16,Thüringen,LK Saale-Orla-Kreis
16074,16,Thüringen,LK Saale-Holzland-Kreis
16073,16,Thüringen,LK Saalfeld-Rudolstadt
16072,16,Thüringen,LK Sonneberg
16071,16,Thüringen,LK Weimarer Land
16070,16,Thüringen,LK Ilm-Kreis
16069,16,Thüringen,LK Hildburghausen
16068,16,Thüringen,LK Sömmerda
16067,16,Thüringen,LK Gotha
16066,16,Thüringen,LK Schmalkalden-Meiningen
16065,16,Thüringen,LK Kyffhäuserkreis
16064,16,Thüringen,LK Unstrut-Hainich-Kreis
16063,16,Thüringen,LK Wartburgkreis
16062,16,Thüringen,LK Nordhausen
16061,16,Thüringen,LK Eichsfeld
16055,16,Thüringen,SK Weimar
16054,16,Thüringen,SK Suhl
16053,16,Thüringen,SK Jena
16052,16,Thüringen,SK Gera
16051,16,Thüringen,SK Erfurt
15091,15,Sachsen-Anhalt,LK Wittenberg
15090,15,Sachsen-Anhalt,LK Stendal
15089,15,Sachsen-Anhalt,LK Salzlandkreis
15088,15,Sachsen-Anhalt,LK Saalekreis
15087,15,Sachsen-Anhalt,LK Mansfeld-Südharz
15086,15,Sachsen-Anhalt,LK Jerichower Land
15085,15,Sachsen-Anhalt,LK Harz
15084,15,Sachsen-Anhalt,LK Burgenlandkreis
15083,15,Sachsen-Anhalt,LK Börde
15082,15,Sachsen-Anhalt,LK Anhalt-Bitterfeld
15081,15,Sachsen-Anhalt,LK Altmarkkreis Salzwedel
15003,15,Sachsen-Anhalt,SK Magdeburg
15002,15,Sachsen-Anhalt,SK Halle
15001,15,Sachsen-Anhalt,SK Dessau-Roßlau
14730,14,Sachsen,LK Nordsachsen
14729,14,Sachsen,LK Leipzig
14713,14,Sachsen,SK Leipzig
14628,14,Sachsen,LK Sächsische Schweiz-Osterzgebirge
14627,14,Sachsen,LK Meißen
14626,14,Sachsen,LK Görlitz
14625,14,Sachsen,LK Bautzen
14612,14,Sachsen,SK Dresden
14524,14,Sachsen,LK Zwickau
14523,14,Sachsen,LK Vogtlandkreis
14522,14,Sachsen,LK Mittelsachsen
14521,14,Sachsen,LK Erzgebirgskreis
14511,14,Sachsen,SK Chemnitz
13076,13,Mecklenburg-Vorpommern,LK Ludwigslust-Parchim
13075,13,Mecklenburg-Vorpommern,LK Vorpommern-Greifswald
13074,13,Mecklenburg-Vorpommern,LK Nordwestmecklenburg
13073,13,Mecklenburg-Vorpommern,LK Vorpommern-Rügen
13072,13,Mecklenburg-Vorpommern,LK Rostock
13071,13,Mecklenburg-Vorpommern,LK Mecklenburgische Seenplatte
13004,13,Mecklenburg-Vorpommern,SK Schwerin
13003,13,Mecklenburg-Vorpommern,SK Rostock
12073,12,Brandenburg,LK Uckermark
12072,12,Brandenburg,LK Teltow-Fläming
12071,12,Brandenburg,LK Spree-Neiße
12070,12,Brandenburg,LK Prignitz
12069,12,Brandenburg,LK Potsdam-Mittelmark
12068,12,Brandenburg,LK Ostprignitz-Ruppin
12067,12,Brandenburg,LK Oder-Spree
12066,12,Brandenburg,LK Oberspreewald-Lausitz
12065,12,Brandenburg,LK Oberhavel
12064,12,Brandenburg,LK Märkisch-Oderland
12063,12,Brandenburg,LK Havelland
12062,12,Brandenburg,LK Elbe-Elster
12061,12,Brandenburg,LK Dahme-Spreewald
12060,12,Brandenburg,LK Barnim
12054,12,Brandenburg,SK Potsdam
12053,12,Brandenburg,SK Frankfurt (Oder)
12052,12,Brandenburg,SK Cottbus
12051,12,Brandenburg,SK Brandenburg a.d.Havel
11012,11,Berlin,SK Berlin Reinickendorf
11011,11,Berlin,SK Berlin Lichtenberg
11010,11,Berlin,SK Berlin Marzahn-Hellersdorf
11009,11,Berlin,SK Berlin Treptow-Köpenick
11008,11,Berlin,SK Berlin Neukölln
11007,11,Berlin,SK Berlin Tempelhof-Schöneberg
11006,11,Berlin,SK Berlin Steglitz-Zehlendorf
11005,11,Berlin,SK Berlin Spandau
11004,11,Berlin,SK Berlin Charlottenburg-Wilmersdorf
11003,11,Berlin,SK Berlin Pankow
11002,11,Berlin,SK Berlin Friedrichshain-Kreuzberg
11001,11,Berlin,SK Berlin Mitte
10046,10,Saarland,LK Sankt Wendel
10045,10,Saarland,LK Saarpfalz-Kreis
10044,10,Saarland,LK Saarlouis
10043,10,Saarland,LK Neunkirchen
10042,10,Saarland,LK Merzig-Wadern
10041,10,Saarland,LK Stadtverband Saarbrücken
09780,9,Bayern,LK Oberallgäu
09779,9,Bayern,LK Donau-Ries
09778,9,Bayern,LK Unterallgäu
09777,9,Bayern,LK Ostallgäu
09776,9,Bayern,LK Lindau
09775,9,Bayern,LK Neu-Ulm
09774,9,Bayern,LK Günzburg
09773,9,Bayern,LK Dillingen a.d.Donau
09772,9,Bayern,LK Augsburg
09771,9,Bayern,LK Aichach-Friedberg
09764,9,Bayern,SK Memmingen
09763,9,Bayern,SK Kempten
09762,9,Bayern,SK Kaufbeuren
09761,9,Bayern,SK Augsburg
09679,9,Bayern,LK Würzburg
