Bundesland,date,dritte_alle
Nordrhein-Westfalen,2020-12-29,1
Rheinland-Pfalz,2021-01-01,1
Nordrhein-Westfalen,2021-01-21,1
Baden-Württemberg,2021-01-26,4
Nordrhein-Westfalen,2021-02-01,1
Nordrhein-Westfalen,2021-02-04,1
Nordrhein-Westfalen,2021-02-09,1
Nordrhein-Westfalen,2021-02-18,1
Nordrhein-Westfalen,2021-02-24,1
Nordrhein-Westfalen,2021-02-25,1
Nordrhein-Westfalen,2021-02-26,1
Nordrhein-Westfalen,2021-02-28,1
Brandenburg,2021-02-28,12
Nordrhein-Westfalen,2021-03-04,1
Nordrhein-Westfalen,2021-03-05,1
Nordrhein-Westfalen,2021-03-09,1
Nordrhein-Westfalen,2021-03-10,2
Nordrhein-Westfalen,2021-03-11,1
Nordrhein-Westfalen,2021-03-14,2
Nordrhein-Westfalen,2021-03-19,1
Nordrhein-Westfalen,2021-03-20,1
Nordrhein-Westfalen,2021-03-22,3
Nordrhein-Westfalen,2021-03-25,1
Nordrhein-Westfalen,2021-03-26,1
Nordrhein-Westfalen,2021-03-30,2
Nordrhein-Westfalen,2021-03-31,1
Nordrhein-Westfalen,2021-04-02,1
Nordrhein-Westfalen,2021-04-05,4
Nordrhein-Westfalen,2021-04-06,5
Nordrhein-Westfalen,2021-04-07,1
Nordrhein-Westfalen,2021-04-08,3
Nordrhein-Westfalen,2021-04-12,2
Nordrhein-Westfalen,2021-04-13,2
Nordrhein-Westfalen,2021-04-14,2
Nordrhein-Westfalen,2021-04-16,2
Nordrhein-Westfalen,2021-04-17,1
Nordrhein-Westfalen,2021-04-18,2
Nordrhein-Westfalen,2021-04-19,4
Nordrhein-Westfalen,2021-04-20,2
Nordrhein-Westfalen,2021-04-21,1
Nordrhein-Westfalen,2021-04-22,3
Nordrhein-Westfalen,2021-04-23,1
Nordrhein-Westfalen,2021-04-27,6
Nordrhein-Westfalen,2021-04-28,1
Nordrhein-Westfalen,2021-04-29,2
Nordrhein-Westfalen,2021-05-01,5
Nordrhein-Westfalen,2021-05-02,2
Nordrhein-Westfalen,2021-05-03,3
Nordrhein-Westfalen,2021-05-04,2
Nordrhein-Westfalen,2021-05-05,1
Nordrhein-Westfalen,2021-05-06,4
Nordrhein-Westfalen,2021-05-07,3
Rheinland-Pfalz,2021-05-07,1
Nordrhein-Westfalen,2021-05-08,2
Nordrhein-Westfalen,2021-05-10,4
Nordrhein-Westfalen,2021-05-11,1
Nordrhein-Westfalen,2021-05-12,2
Nordrhein-Westfalen,2021-05-13,2
Nordrhein-Westfalen,2021-05-14,1
Nordrhein-Westfalen,2021-05-15,2
Nordrhein-Westfalen,2021-05-17,4
Nordrhein-Westfalen,2021-05-18,3
Nordrhein-Westfalen,2021-05-19,3
Nordrhein-Westfalen,2021-05-20,2
Nordrhein-Westfalen,2021-05-21,2
Nordrhein-Westfalen,2021-05-22,3
Nordrhein-Westfalen,2021-05-23,2
Nordrhein-Westfalen,2021-05-24,6
Nordrhein-Westfalen,2021-05-25,3
Nordrhein-Westfalen,2021-05-26,4
Nordrhein-Westfalen,2021-05-27,5
Nordrhein-Westfalen,2021-05-28,2
Nordrhein-Westfalen,2021-05-29,5
Nordrhein-Westfalen,2021-05-30,1
Nordrhein-Westfalen,2021-06-01,2
Nordrhein-Westfalen,2021-06-02,1
Nordrhein-Westfalen,2021-06-03,1
Nordrhein-Westfalen,2021-06-04,1
Niedersachsen,2021-06-08,5
Mecklenburg-Vorpommern,2021-06-08,1
Nordrhein-Westfalen,2021-06-09,5
Nordrhein-Westfalen,2021-06-10,1
Baden-Württemberg,2021-06-10,1
Nordrhein-Westfalen,2021-06-11,2
Bayern,2021-06-11,1
Nordrhein-Westfalen,2021-06-12,1
Nordrhein-Westfalen,2021-06-14,1
Brandenburg,2021-06-16,10
Nordrhein-Westfalen,2021-06-18,2
Baden-Württemberg,2021-06-18,4
Nordrhein-Westfalen,2021-06-19,1
Rheinland-Pfalz,2021-06-21,1
Niedersachsen,2021-06-22,1
Nordrhein-Westfalen,2021-06-22,2
Hessen,2021-06-22,1
Nordrhein-Westfalen,2021-06-23,2
Nordrhein-Westfalen,2021-06-24,2
Nordrhein-Westfalen,2021-06-25,6
Rheinland-Pfalz,2021-06-25,1
Nordrhein-Westfalen,2021-06-26,4
Nordrhein-Westfalen,2021-06-27,3
Baden-Württemberg,2021-06-27,1
Nordrhein-Westfalen,2021-06-28,1
Nordrhein-Westfalen,2021-06-30,5
Hessen,2021-06-30,1
Nordrhein-Westfalen,2021-07-01,7
Niedersachsen,2021-07-02,1
Nordrhein-Westfalen,2021-07-02,2
Nordrhein-Westfalen,2021-07-03,6
Nordrhein-Westfalen,2021-07-04,5
Nordrhein-Westfalen,2021-07-05,8
Nordrhein-Westfalen,2021-07-06,4
Bayern,2021-07-06,1
Nordrhein-Westfalen,2021-07-07,6
Baden-Württemberg,2021-07-07,1
Nordrhein-Westfalen,2021-07-08,9
Baden-Württemberg,2021-07-08,1
Bayern,2021-07-08,1
Nordrhein-Westfalen,2021-07-09,8
Baden-Württemberg,2021-07-09,1
Nordrhein-Westfalen,2021-07-10,5
Nordrhein-Westfalen,2021-07-11,5
Nordrhein-Westfalen,2021-07-12,10
Hessen,2021-07-12,1
Nordrhein-Westfalen,2021-07-13,14
Nordrhein-Westfalen,2021-07-14,8
Bayern,2021-07-14,1
Nordrhein-Westfalen,2021-07-15,6
Baden-Württemberg,2021-07-15,1
Nordrhein-Westfalen,2021-07-16,12
Baden-Württemberg,2021-07-16,1
Bayern,2021-07-16,1
Nordrhein-Westfalen,2021-07-17,5
Saarland,2021-07-17,1
Nordrhein-Westfalen,2021-07-18,5
Schleswig-Holstein,2021-07-19,1
Nordrhein-Westfalen,2021-07-19,8
Rheinland-Pfalz,2021-07-19,1
Baden-Württemberg,2021-07-19,1
Niedersachsen,2021-07-20,14
Nordrhein-Westfalen,2021-07-20,7
Hessen,2021-07-20,1
Baden-Württemberg,2021-07-20,4
Nordrhein-Westfalen,2021-07-21,1
Baden-Württemberg,2021-07-21,1
Bayern,2021-07-21,2
Nordrhein-Westfalen,2021-07-22,16
Rheinland-Pfalz,2021-07-22,1
Bayern,2021-07-22,1
Nordrhein-Westfalen,2021-07-23,16
Rheinland-Pfalz,2021-07-23,3
Baden-Württemberg,2021-07-23,2
Nordrhein-Westfalen,2021-07-24,19
Hessen,2021-07-24,1
Rheinland-Pfalz,2021-07-24,1
Baden-Württemberg,2021-07-24,1
Nordrhein-Westfalen,2021-07-25,5
Hessen,2021-07-25,1
Nordrhein-Westfalen,2021-07-26,14
Hessen,2021-07-26,2
Thüringen,2021-07-26,1
Nordrhein-Westfalen,2021-07-27,49
Baden-Württemberg,2021-07-27,1
Niedersachsen,2021-07-28,2
Nordrhein-Westfalen,2021-07-28,120
Hessen,2021-07-28,3
Rheinland-Pfalz,2021-07-28,2
Baden-Württemberg,2021-07-28,2
Nordrhein-Westfalen,2021-07-29,119
Hessen,2021-07-29,1
Baden-Württemberg,2021-07-29,1
Bayern,2021-07-29,2
Saarland,2021-07-29,3
Nordrhein-Westfalen,2021-07-30,180
Baden-Württemberg,2021-07-30,4
Bayern,2021-07-30,1
