"","stichtag","vorwarnzeit"
"0",0,115
"1",1,112
"2",2,112
"3",3,110
"4",4,113
"5",5,117
"6",6,119
"7",7,121
"8",8,121
"9",9,120
"10",10,119
"11",11,122
"12",12,126
"13",13,128
"14",14,129
"15",15,130
"16",16,129
"17",17,126
"18",18,128
"19",19,130
"20",20,130
"21",21,130
"22",22,128
"23",23,126
"24",24,122
"25",25,123
"26",26,125
"27",27,123
"28",28,122
"29",29,121
"30",30,120
"31",31,116
"32",32,117
"33",33,118
"34",34,114
"35",35,113
"36",36,108
"37",37,108
"38",38,108
"39",39,111
"40",40,118
"41",41,121
"42",42,132
"43",43,132
"44",44,129
"45",45,127
"46",46,130
"47",47,131
"48",48,128
"49",49,128
"50",50,127
"51",51,127
"52",52,127
"53",53,129
"54",54,130
"55",55,131
"56",56,131
"57",57,125
"58",58,119
"59",59,116
"60",60,118
"61",61,119
"62",62,119
"63",63,122
"64",64,119
"65",65,116
"66",66,112
"67",67,113
"68",68,113
"69",69,110
"70",70,111
"71",71,109
"72",72,106
"73",73,103
"74",74,104
"75",75,105
"76",76,103
"77",77,101
"78",78,98
"79",79,96
"80",80,94
"81",81,95
"82",82,97
"83",83,99
"84",84,98
"85",85,95
"86",86,91
"87",87,88
"88",88,87
"89",89,86
"90",90,84
"91",91,81
"92",92,77
"93",93,73
"94",94,70
"95",95,70
"96",96,69
"97",97,67
"98",98,64
"99",99,62
"100",100,60
