"";"RS";"Kreis";"Verhältnis"
"1";1001000;"Flensburg, Stadt";0,245257858416751
"2";7313000;"Landau in der Pfalz, Stadt";0,291678517156148
"3";3402000;"Emden, Stadt";0,316735544543495
"4";5512000;"Bottrop, Stadt";0,370902747041802
"5";9561000;"Ansbach, Stadt";0,395046402638747
"6";3256000;"Nienburg (Weser)";0,453696508553004
"7";9361000;"Amberg, Stadt";0,473471568339656
"8";3101000;"Braunschweig, Stadt";0,475249456006547
"9";9163000;"Rosenheim, Stadt";0,48319890512107
"10";9775000;"Neu-Ulm";0,525176343929643
"11";3357000;"Rotenburg (Wümme)";0,525841534843078
"12";5316000;"Leverkusen, Stadt";0,540296211893607
"13";9477000;"Kulmbach";0,541890500464864
"14";9188000;"Starnberg";0,56443315887722
"15";7316000;"Neustadt an der Weinstraße, Stadt";0,564828565763821
"16";9178000;"Freising";0,565215702141532
"17";9663000;"Würzburg, Stadt";0,58024429126279
"18";5114000;"Krefeld, Stadt";0,595663026793146
"19";3403000;"Oldenburg (Oldenburg), Stadt";0,608852727266461
"20";9179000;"Fürstenfeldbruck";0,633381017909997
"21";5915000;"Hamm, Stadt";0,648797170629083
"22";9474000;"Forchheim";0,65052402552469
"23";9184000;"München";0,6705092269805
"24";5911000;"Bochum, Stadt";0,671613468074675
"25";8336000;"Lörrach";0,673862471847189
"26";9675000;"Kitzingen";0,675992811612897
"27";5515000;"Münster, Stadt";0,676781571709951
"28";3401000;"Delmenhorst, Stadt";0,684096563247166
"29";1056000;"Pinneberg";0,690805647758054
"30";5962000;"Märkischer Kreis";0,708851313716208
"31";3360000;"Uelzen";0,715128675584914
"32";3457000;"Leer";0,718474920192472
"33";5913000;"Dortmund, Stadt";0,722520963788545
"34";7133000;"Bad Kreuznach";0,730973648366602
"35";5513000;"Gelsenkirchen, Stadt";0,731543479218106
"36";9362000;"Regensburg, Stadt";0,73799018307854
"37";1061000;"Steinburg";0,749177325525611
"38";8415000;"Reutlingen";0,753834097752039
"39";7143000;"Westerwaldkreis";0,754388792694582
"40";8437000;"Sigmaringen";0,754571653566825
"41";10044000;"Saarlouis";0,755327073387507
"42";1055000;"Ostholstein";0,756715916960313
"43";4011000;"Bremen, Stadt";0,760668888838711
"44";1053000;"Herzogtum Lauenburg";0,763126680399707
"45";9661000;"Aschaffenburg, Stadt";0,764609957779544
"46";5958000;"Hochsauerlandkreis";0,766902774656358
"47";5711000;"Bielefeld, Stadt";0,771481587514304
"48";3257000;"Schaumburg";0,771562496921691
"49";8117000;"Göppingen";0,786220890293066
"50";8116000;"Esslingen";0,786910978855361
"51";5570000;"Warendorf";0,790072652527328
"52";1004000;"Neumünster, Stadt";0,795237205485382
"53";3102000;"Salzgitter, Stadt";0,797208719612335
"54";5970000;"Siegen-Wittgenstein";0,800205501333623
"55";6413000;"Offenbach am Main, Stadt";0,801630215431842
"56";8337000;"Waldshut";0,80628178669524
"57";6611000;"Kassel, Stadt";0,806980891641682
"58";6531000;"Gießen";0,810544090990519
"59";5914000;"Hagen, Stadt";0,811439145369202
"60";5562000;"Recklinghausen";0,813660816105368
"61";3451000;"Ammerland";0,817014179514682
"62";9372000;"Cham";0,817518963978922
"63";8311000;"Freiburg im Breisgau, Stadt";0,827697436285793
"64";7335000;"Kaiserslautern";0,830061393468436
"65";8125000;"Heilbronn";0,831053977845607
"66";3359000;"Stade";0,835179370012597
"67";9181000;"Landsberg am Lech";0,843393174250116
"68";9777000;"Ostallgäu";0,851271781396878
"69";8121000;"Heilbronn, Stadt";0,854231838819867
"70";7337000;"Südliche Weinstraße";0,859508122122977
"71";9671000;"Aschaffenburg";0,859508879210036
"72";8435000;"Bodenseekreis";0,862214494958565
"73";3458000;"Oldenburg";0,868513589126492
"74";9161000;"Ingolstadt, Stadt";0,870670243743722
"75";1057000;"Plön";0,872061916376838
"76";6440000;"Wetteraukreis";0,87639946167286
"77";3405000;"Wilhelmshaven, Stadt";0,880917614145369
"78";3404000;"Osnabrück, Stadt";0,884423400294718
"79";1003000;"Lübeck, Stadt";0,884548465061965
"80";5762000;"Höxter";0,886368669537694
"81";5122000;"Solingen, Stadt";0,894383951388855
"82";9773000;"Dillingen a.d.Donau";0,898426851679737
"83";9472000;"Bayreuth";0,901073575191356
"84";3454000;"Emsland";0,902169002804544
"85";8315000;"Breisgau-Hochschwarzwald";0,906855781944009
"86";7315000;"Mainz, Stadt";0,912662182657156
"87";5117000;"Mülheim an der Ruhr, Stadt";0,913137542507665
"88";5362000;"Rhein-Erft-Kreis";0,914097334337029
"89";5162000;"Rhein-Kreis Neuss";0,915841284470265
"90";8421000;"Ulm, Stadt";0,91591773073132
"91";6632000;"Hersfeld-Rotenburg";0,918947436586463
"92";5916000;"Herne, Stadt";0,920187674139567
"93";7340000;"Südwestpfalz";0,921786131336769
"94";5113000;"Essen, Stadt";0,924951925198311
"95";6435000;"Main-Kinzig-Kreis";0,928731638103948
"96";7211000;"Trier, Stadt";0,929152477591484
"97";9672000;"Bad Kissingen";0,93075564002839
"98";9162000;"München, Stadt";0,931510841882888
"99";10045000;"Saarpfalz-Kreis";0,931752288098957
"100";10043000;"Neunkirchen";0,934317165345646
"101";9183000;"Mühldorf a.Inn";0,934750025438815
"102";5754000;"Gütersloh";0,93579890121687
"103";5766000;"Lippe";0,935974472386334
"104";3155000;"Northeim";0,937275988232383
"105";12051000;"Brandenburg an der Havel, Stadt";0,941058877397113
"106";8417000;"Zollernalbkreis";0,944759676887688
"107";9180000;"Garmisch-Partenkirchen";0,949880485105478
"108";3252000;"Hameln-Pyrmont";0,95251329540108
"109";1,1e+07;NA;0,955034247914027
"110";3361000;"Verden";0,955594379104907
"111";15085000;"Harz";0,956193866644164
"112";8327000;"Tuttlingen";0,957455735720548
"113";7235000;"Trier-Saarburg";0,962472399383734
"114";3103000;"Wolfsburg, Stadt";0,963978127849402
"115";9182000;"Miesbach";0,964361785163656
"116";6634000;"Schwalm-Eder-Kreis";0,975488721673403
"117";8222000;"Mannheim, Stadt";0,981069562035516
"118";8221000;"Heidelberg, Stadt";0,981146299207165
"119";5378000;"Rheinisch-Bergischer Kreis";0,981848321997045
"120";7312000;"Kaiserslautern, Stadt";0,983285835455289
"121";5382000;"Rhein-Sieg-Kreis";0,992738910608427
"122";5314000;"Bonn, Stadt";0,993276502692571
"123";2e+06;"Hamburg, Stadt";0,993895479026452
"124";9563000;"Fürth, Stadt";0,998517807091721
"125";8119000;"Rems-Murr-Kreis";1,00304334672817
"126";5758000;"Herford";1,00671904556673
"127";9190000;"Weilheim-Schongau";1,01206290546719
"128";5558000;"Coesfeld";1,01525360611487
"129";12065000;"Oberhavel";1,02217206453595
"130";5974000;"Soest";1,02239803310827
"131";3241000;"Region Hannover";1,02511416628544
"132";9176000;"Eichstätt";1,03032539544733
"133";13003000;"Rostock, Stadt";1,03091566135601
"134";7320000;"Zweibrücken, Stadt";1,03758896894386
"135";9175000;"Ebersberg";1,03772856721767
"136";9780000;"Oberallgäu";1,04160401788899
"137";12061000;"Dahme-Spreewald";1,04327222434754
"138";12072000;"Teltow-Fläming";1,05473458884559
"139";8212000;"Karlsruhe, Stadt";1,05554627162642
"140";9261000;"Landshut, Stadt";1,05559617122166
"141";8115000;"Böblingen";1,05811326530376
"142";3455000;"Friesland";1,05835951082738
"143";7319000;"Worms, Stadt";1,05887821251156
"144";9471000;"Bamberg";1,06347266736056
"145";9475000;"Hof";1,06437667003718
"146";8211000;"Baden-Baden, Stadt";1,06467923963189
"147";13076000;"Ludwigslust-Parchim";1,06722200111503
"148";10041000;"Regionalverband Saarbrücken";1,0692916037627
"149";5124000;"Wuppertal, Stadt";1,07010842668774
"150";9771000;"Aichach-Friedberg";1,07787298017756
"151";5374000;"Oberbergischer Kreis";1,08097196352173
"152";5954000;"Ennepe-Ruhr-Kreis";1,08304151075737
"153";8216000;"Rastatt";1,08596038296252
"154";3251000;"Diepholz";1,10162226572739
"155";6535000;"Vogelsbergkreis";1,101900203687
"156";6533000;"Limburg-Weilburg";1,10398466334681
"157";9464000;"Hof, Stadt";1,10571741187512
"158";6412000;"Frankfurt am Main, Stadt";1,11323069934477
"159";12063000;"Havelland";1,11333478921768
"160";5170000;"Wesel";1,11394623942562
"161";9574000;"Nürnberger Land";1,1148176561426
"162";1051000;"Dithmarschen";1,11822791225653
"163";9576000;"Roth";1,11953442940521
"164";9772000;"Augsburg";1,12026490802734
"165";5120000;"Remscheid, Stadt";1,13197524243055
"166";9276000;"Regen";1,13366596583578
"167";8426000;"Biberach";1,13416125323616
"168";5966000;"Olpe";1,13786239798329
"169";1062000;"Stormarn";1,13808714601267
"170";5770000;"Minden-Lübbecke";1,14217328658844
"171";9679000;"Würzburg";1,14256065045632
"172";9173000;"Bad Tölz-Wolfratshausen";1,1431889098665
"173";3358000;"Heidekreis";1,14427672994752
"174";5370000;"Heinsberg";1,14513291058875
